,buying,maint,doors,persons,lug_boot,safety,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
162,3,2,2,0,0,0,unacc,1,0,unacc,True,1
167,3,2,2,0,1,2,unacc,9,3,unacc,True,1
171,3,2,2,1,0,0,unacc,1,0,unacc,True,1
172,3,2,2,1,0,1,unacc,30,11,unacc,True,1
173,3,2,2,1,0,2,unacc,68,21,unacc,True,1
174,3,2,2,1,1,0,unacc,1,0,unacc,True,1
175,3,2,2,1,1,1,unacc,30,11,unacc,True,1
176,3,2,2,1,1,2,unacc,68,21,unacc,True,1
177,3,2,2,1,2,0,unacc,1,0,unacc,True,1
180,3,2,2,2,0,0,unacc,1,0,unacc,True,1
181,3,2,2,2,0,1,unacc,47,15,unacc,True,1
183,3,2,2,2,1,0,unacc,1,0,unacc,True,1
184,3,2,2,2,1,1,unacc,51,16,acc,False,1
186,3,2,2,2,2,0,unacc,1,0,unacc,True,1
189,3,2,3,0,0,0,unacc,1,0,unacc,True,1
194,3,2,3,0,1,2,unacc,9,3,unacc,True,1
197,3,2,3,0,2,2,unacc,9,3,unacc,True,1
198,3,2,3,1,0,0,unacc,1,0,unacc,True,1
199,3,2,3,1,0,1,unacc,30,11,unacc,True,1
200,3,2,3,1,0,2,unacc,68,21,unacc,True,1
208,3,2,3,2,0,1,unacc,47,15,unacc,True,1
209,3,2,3,2,0,2,unacc,56,18,unacc,True,1
211,3,2,3,2,1,1,unacc,139,50,unacc,True,1
213,3,2,3,2,2,0,unacc,1,0,unacc,True,1
219,3,1,0,0,1,0,unacc,1,0,unacc,True,1
223,3,1,0,0,2,1,unacc,5,2,unacc,True,1
224,3,1,0,0,2,2,unacc,9,3,unacc,True,1
226,3,1,0,1,0,1,unacc,93,31,unacc,True,1
231,3,1,0,1,2,0,unacc,1,0,unacc,True,1
234,3,1,0,2,0,0,unacc,1,0,unacc,True,1
237,3,1,0,2,1,0,unacc,1,0,unacc,True,1
238,3,1,0,2,1,1,unacc,133,48,unacc,True,1
243,3,1,1,0,0,0,unacc,1,0,unacc,True,1
247,3,1,1,0,1,1,unacc,5,2,unacc,True,1
248,3,1,1,0,1,2,unacc,9,3,unacc,True,1
250,3,1,1,0,2,1,unacc,5,2,unacc,True,1
252,3,1,1,1,0,0,unacc,1,0,unacc,True,1
256,3,1,1,1,1,1,unacc,93,31,unacc,True,1
262,3,1,1,2,0,1,unacc,47,15,unacc,True,1
270,3,1,2,0,0,0,unacc,1,0,unacc,True,1
272,3,1,2,0,0,2,unacc,9,3,unacc,True,1
278,3,1,2,0,2,2,unacc,9,3,unacc,True,1
282,3,1,2,1,1,0,unacc,1,0,unacc,True,1
291,3,1,2,2,1,0,unacc,1,0,unacc,True,1
298,3,1,3,0,0,1,unacc,5,2,unacc,True,1
302,3,1,3,0,1,2,unacc,9,3,unacc,True,1
305,3,1,3,0,2,2,unacc,9,3,unacc,True,1
307,3,1,3,1,0,1,unacc,93,31,unacc,True,1
309,3,1,3,1,1,0,unacc,1,0,unacc,True,1
316,3,1,3,2,0,1,unacc,47,15,unacc,True,1
321,3,1,3,2,2,0,unacc,1,0,unacc,True,1
325,3,0,0,0,0,1,unacc,5,2,unacc,True,1
326,3,0,0,0,0,2,unacc,9,3,unacc,True,1
337,3,0,0,1,1,1,unacc,91,29,unacc,True,1
342,3,0,0,2,0,0,unacc,1,0,unacc,True,1
343,3,0,0,2,0,1,unacc,47,15,unacc,True,1
344,3,0,0,2,0,2,unacc,59,18,acc,False,1
345,3,0,0,2,1,0,unacc,1,0,unacc,True,1
346,3,0,0,2,1,1,unacc,133,48,unacc,True,1
351,3,0,1,0,0,0,unacc,1,0,unacc,True,1
352,3,0,1,0,0,1,unacc,5,2,unacc,True,1
353,3,0,1,0,0,2,unacc,9,3,unacc,True,1
356,3,0,1,0,1,2,unacc,9,3,unacc,True,1
360,3,0,1,1,0,0,unacc,1,0,unacc,True,1
361,3,0,1,1,0,1,unacc,90,29,unacc,True,1
369,3,0,1,2,0,0,unacc,1,0,unacc,True,1
370,3,0,1,2,0,1,unacc,47,15,unacc,True,1
379,3,0,2,0,0,1,unacc,5,2,unacc,True,1
381,3,0,2,0,1,0,unacc,1,0,unacc,True,1
384,3,0,2,0,2,0,unacc,1,0,unacc,True,1
386,3,0,2,0,2,2,unacc,9,3,unacc,True,1
387,3,0,2,1,0,0,unacc,1,0,unacc,True,1
390,3,0,2,1,1,0,unacc,1,0,unacc,True,1
396,3,0,2,2,0,0,unacc,1,0,unacc,True,1
399,3,0,2,2,1,0,unacc,1,0,unacc,True,1
405,3,0,3,0,0,0,unacc,1,0,unacc,True,1
406,3,0,3,0,0,1,unacc,5,2,unacc,True,1
408,3,0,3,0,1,0,unacc,1,0,unacc,True,1
411,3,0,3,0,2,0,unacc,1,0,unacc,True,1
412,3,0,3,0,2,1,unacc,5,2,unacc,True,1
413,3,0,3,0,2,2,unacc,9,3,unacc,True,1
424,3,0,3,2,0,1,unacc,47,15,unacc,True,1
429,3,0,3,2,2,0,unacc,1,0,unacc,True,1
432,2,3,0,0,0,0,unacc,1,0,unacc,True,1
434,2,3,0,0,0,2,unacc,9,3,unacc,True,1
435,2,3,0,0,1,0,unacc,1,0,unacc,True,1
436,2,3,0,0,1,1,unacc,5,2,unacc,True,1
437,2,3,0,0,1,2,unacc,9,3,unacc,True,1
443,2,3,0,1,0,2,unacc,71,22,unacc,True,1
446,2,3,0,1,1,2,unacc,71,22,unacc,True,1
451,2,3,0,2,0,1,unacc,46,15,unacc,True,1
455,2,3,0,2,1,2,unacc,52,17,unacc,True,1
457,2,3,0,2,2,1,unacc,114,41,unacc,True,1
460,2,3,1,0,0,1,unacc,5,2,unacc,True,1
461,2,3,1,0,0,2,unacc,9,3,unacc,True,1
463,2,3,1,0,1,1,unacc,5,2,unacc,True,1
464,2,3,1,0,1,2,unacc,9,3,unacc,True,1
473,2,3,1,1,1,2,unacc,71,22,unacc,True,1
475,2,3,1,1,2,1,unacc,86,26,unacc,True,1
478,2,3,1,2,0,1,unacc,46,15,unacc,True,1
479,2,3,1,2,0,2,unacc,52,17,unacc,True,1
482,2,3,1,2,1,2,unacc,52,17,unacc,True,1
483,2,3,1,2,2,0,unacc,1,0,unacc,True,1
487,2,3,2,0,0,1,unacc,5,2,unacc,True,1
489,2,3,2,0,1,0,unacc,1,0,unacc,True,1
490,2,3,2,0,1,1,unacc,5,2,unacc,True,1
494,2,3,2,0,2,2,unacc,9,3,unacc,True,1
495,2,3,2,1,0,0,unacc,1,0,unacc,True,1
500,2,3,2,1,1,2,unacc,71,22,unacc,True,1
502,2,3,2,1,2,1,unacc,86,26,unacc,True,1
503,2,3,2,1,2,2,unacc,71,22,unacc,True,1
504,2,3,2,2,0,0,unacc,1,0,unacc,True,1
505,2,3,2,2,0,1,unacc,46,15,unacc,True,1
508,2,3,2,2,1,1,unacc,51,16,acc,False,1
512,2,3,2,2,2,2,unacc,52,17,unacc,True,1
514,2,3,3,0,0,1,unacc,5,2,unacc,True,1
515,2,3,3,0,0,2,unacc,9,3,unacc,True,1
516,2,3,3,0,1,0,unacc,1,0,unacc,True,1
517,2,3,3,0,1,1,unacc,5,2,unacc,True,1
518,2,3,3,0,1,2,unacc,9,3,unacc,True,1
519,2,3,3,0,2,0,unacc,1,0,unacc,True,1
524,2,3,3,1,0,2,unacc,71,22,unacc,True,1
528,2,3,3,1,2,0,unacc,1,0,unacc,True,1
529,2,3,3,1,2,1,unacc,86,26,unacc,True,1
531,2,3,3,2,0,0,unacc,1,0,unacc,True,1
532,2,3,3,2,0,1,unacc,46,15,unacc,True,1
535,2,3,3,2,1,1,unacc,139,50,unacc,True,1
536,2,3,3,2,1,2,unacc,52,17,unacc,True,1
538,2,3,3,2,2,1,unacc,114,41,unacc,True,1
545,2,2,0,0,1,2,unacc,9,3,unacc,True,1
547,2,2,0,0,2,1,unacc,5,2,unacc,True,1
550,2,2,0,1,0,1,unacc,27,10,unacc,True,1
564,2,2,0,2,2,0,unacc,1,0,unacc,True,1
570,2,2,1,0,1,0,unacc,1,0,unacc,True,1
571,2,2,1,0,1,1,unacc,5,2,unacc,True,1
573,2,2,1,0,2,0,unacc,1,0,unacc,True,1
574,2,2,1,0,2,1,unacc,5,2,unacc,True,1
575,2,2,1,0,2,2,unacc,9,3,unacc,True,1
576,2,2,1,1,0,0,unacc,1,0,unacc,True,1
577,2,2,1,1,0,1,unacc,27,10,unacc,True,1
579,2,2,1,1,1,0,unacc,1,0,unacc,True,1
580,2,2,1,1,1,1,unacc,82,25,unacc,True,1
585,2,2,1,2,0,0,unacc,1,0,unacc,True,1
595,2,2,2,0,0,1,unacc,5,2,unacc,True,1
601,2,2,2,0,2,1,unacc,5,2,unacc,True,1
602,2,2,2,0,2,2,unacc,9,3,unacc,True,1
603,2,2,2,1,0,0,unacc,1,0,unacc,True,1
604,2,2,2,1,0,1,unacc,27,10,unacc,True,1
609,2,2,2,1,2,0,unacc,1,0,unacc,True,1
612,2,2,2,2,0,0,unacc,1,0,unacc,True,1
615,2,2,2,2,1,0,unacc,1,0,unacc,True,1
618,2,2,2,2,2,0,unacc,1,0,unacc,True,1
622,2,2,3,0,0,1,unacc,5,2,unacc,True,1
625,2,2,3,0,1,1,unacc,5,2,unacc,True,1
626,2,2,3,0,1,2,unacc,9,3,unacc,True,1
628,2,2,3,0,2,1,unacc,5,2,unacc,True,1
629,2,2,3,0,2,2,unacc,9,3,unacc,True,1
631,2,2,3,1,0,1,unacc,27,10,unacc,True,1
642,2,2,3,2,1,0,unacc,1,0,unacc,True,1
649,2,1,0,0,0,1,unacc,5,2,unacc,True,1
653,2,1,0,0,1,2,unacc,9,3,unacc,True,1
654,2,1,0,0,2,0,unacc,1,0,unacc,True,1
656,2,1,0,0,2,2,unacc,9,3,unacc,True,1
657,2,1,0,1,0,0,unacc,1,0,unacc,True,1
661,2,1,0,1,1,1,unacc,84,25,unacc,True,1
679,2,1,1,0,1,1,unacc,5,2,unacc,True,1
682,2,1,1,0,2,1,unacc,5,2,unacc,True,1
684,2,1,1,1,0,0,unacc,1,0,unacc,True,1
699,2,1,1,2,2,0,unacc,1,0,unacc,True,1
702,2,1,2,0,0,0,unacc,1,0,unacc,True,1
703,2,1,2,0,0,1,unacc,5,2,unacc,True,1
705,2,1,2,0,1,0,unacc,1,0,unacc,True,1
710,2,1,2,0,2,2,unacc,9,3,unacc,True,1
714,2,1,2,1,1,0,unacc,1,0,unacc,True,1
717,2,1,2,1,2,0,unacc,1,0,unacc,True,1
721,2,1,2,2,0,1,unacc,46,15,unacc,True,1
726,2,1,2,2,2,0,unacc,1,0,unacc,True,1
730,2,1,3,0,0,1,unacc,5,2,unacc,True,1
732,2,1,3,0,1,0,unacc,1,0,unacc,True,1
734,2,1,3,0,1,2,unacc,9,3,unacc,True,1
735,2,1,3,0,2,0,unacc,1,0,unacc,True,1
736,2,1,3,0,2,1,unacc,5,2,unacc,True,1
737,2,1,3,0,2,2,unacc,9,3,unacc,True,1
741,2,1,3,1,1,0,unacc,1,0,unacc,True,1
744,2,1,3,1,2,0,unacc,1,0,unacc,True,1
750,2,1,3,2,1,0,unacc,1,0,unacc,True,1
756,2,0,0,0,0,0,unacc,1,0,unacc,True,1
757,2,0,0,0,0,1,unacc,5,2,unacc,True,1
763,2,0,0,0,2,1,unacc,5,2,unacc,True,1
764,2,0,0,0,2,2,unacc,9,3,unacc,True,1
785,2,0,1,0,0,2,unacc,9,3,unacc,True,1
786,2,0,1,0,1,0,unacc,1,0,unacc,True,1
787,2,0,1,0,1,1,unacc,5,2,unacc,True,1
789,2,0,1,0,2,0,unacc,1,0,unacc,True,1
790,2,0,1,0,2,1,unacc,5,2,unacc,True,1
791,2,0,1,0,2,2,unacc,9,3,unacc,True,1
793,2,0,1,1,0,1,unacc,27,10,unacc,True,1
802,2,0,1,2,0,1,unacc,46,15,unacc,True,1
807,2,0,1,2,2,0,unacc,1,0,unacc,True,1
811,2,0,2,0,0,1,unacc,5,2,unacc,True,1
818,2,0,2,0,2,2,unacc,9,3,unacc,True,1
819,2,0,2,1,0,0,unacc,1,0,unacc,True,1
820,2,0,2,1,0,1,unacc,27,10,unacc,True,1
834,2,0,2,2,2,0,unacc,1,0,unacc,True,1
837,2,0,3,0,0,0,unacc,1,0,unacc,True,1
841,2,0,3,0,1,1,unacc,5,2,unacc,True,1
842,2,0,3,0,1,2,unacc,9,3,unacc,True,1
843,2,0,3,0,2,0,unacc,1,0,unacc,True,1
845,2,0,3,0,2,2,unacc,9,3,unacc,True,1
846,2,0,3,1,0,0,unacc,1,0,unacc,True,1
847,2,0,3,1,0,1,unacc,27,10,unacc,True,1
852,2,0,3,1,2,0,unacc,1,0,unacc,True,1
872,1,3,0,0,2,2,unacc,9,3,unacc,True,1
873,1,3,0,1,0,0,unacc,1,0,unacc,True,1
874,1,3,0,1,0,1,unacc,104,36,unacc,True,1
876,1,3,0,1,1,0,unacc,1,0,unacc,True,1
877,1,3,0,1,1,1,unacc,105,36,acc,False,1
879,1,3,0,1,2,0,unacc,1,0,unacc,True,1
883,1,3,0,2,0,1,unacc,126,44,unacc,True,1
885,1,3,0,2,1,0,unacc,1,0,unacc,True,1
893,1,3,1,0,0,2,unacc,9,3,unacc,True,1
898,1,3,1,0,2,1,unacc,5,2,unacc,True,1
899,1,3,1,0,2,2,unacc,9,3,unacc,True,1
900,1,3,1,1,0,0,unacc,1,0,unacc,True,1
903,1,3,1,1,1,0,unacc,1,0,unacc,True,1
921,1,3,2,0,1,0,unacc,1,0,unacc,True,1
923,1,3,2,0,1,2,unacc,9,3,unacc,True,1
924,1,3,2,0,2,0,unacc,1,0,unacc,True,1
945,1,3,3,0,0,0,unacc,1,0,unacc,True,1
946,1,3,3,0,0,1,unacc,5,2,unacc,True,1
947,1,3,3,0,0,2,unacc,9,3,unacc,True,1
948,1,3,3,0,1,0,unacc,1,0,unacc,True,1
949,1,3,3,0,1,1,unacc,5,2,unacc,True,1
950,1,3,3,0,1,2,unacc,9,3,unacc,True,1
955,1,3,3,1,0,1,unacc,104,36,unacc,True,1
957,1,3,3,1,1,0,unacc,1,0,unacc,True,1
964,1,3,3,2,0,1,unacc,126,44,unacc,True,1
969,1,3,3,2,2,0,unacc,1,0,unacc,True,1
974,1,2,0,0,0,2,unacc,9,3,unacc,True,1
976,1,2,0,0,1,1,unacc,5,2,unacc,True,1
977,1,2,0,0,1,2,unacc,9,3,unacc,True,1
978,1,2,0,0,2,0,unacc,1,0,unacc,True,1
979,1,2,0,0,2,1,unacc,5,2,unacc,True,1
981,1,2,0,1,0,0,unacc,1,0,unacc,True,1
984,1,2,0,1,1,0,unacc,1,0,unacc,True,1
985,1,2,0,1,1,1,unacc,107,37,unacc,True,1
992,1,2,0,2,0,2,unacc,149,60,unacc,True,1
1000,1,2,1,0,0,1,unacc,5,2,unacc,True,1
1001,1,2,1,0,0,2,unacc,9,3,unacc,True,1
1005,1,2,1,0,2,0,unacc,1,0,unacc,True,1
1006,1,2,1,0,2,1,unacc,5,2,unacc,True,1
1007,1,2,1,0,2,2,unacc,9,3,unacc,True,1
1009,1,2,1,1,0,1,unacc,109,37,acc,False,1
1012,1,2,1,1,1,1,unacc,109,37,acc,False,1
1020,1,2,1,2,1,0,unacc,1,0,unacc,True,1
1023,1,2,1,2,2,0,unacc,1,0,unacc,True,1
1029,1,2,2,0,1,0,unacc,1,0,unacc,True,1
1030,1,2,2,0,1,1,unacc,5,2,unacc,True,1
1035,1,2,2,1,0,0,unacc,1,0,unacc,True,1
1036,1,2,2,1,0,1,unacc,108,37,acc,False,1
1041,1,2,2,1,2,0,unacc,1,0,unacc,True,1
1044,1,2,2,2,0,0,unacc,1,0,unacc,True,1
1047,1,2,2,2,1,0,unacc,1,0,unacc,True,1
1053,1,2,3,0,0,0,unacc,1,0,unacc,True,1
1054,1,2,3,0,0,1,unacc,5,2,unacc,True,1
1061,1,2,3,0,2,2,unacc,9,3,unacc,True,1
1062,1,2,3,1,0,0,unacc,1,0,unacc,True,1
1065,1,2,3,1,1,0,unacc,1,0,unacc,True,1
1068,1,2,3,1,2,0,unacc,1,0,unacc,True,1
1074,1,2,3,2,1,0,unacc,1,0,unacc,True,1
1077,1,2,3,2,2,0,unacc,1,0,unacc,True,1
1089,1,1,0,1,0,0,unacc,1,0,unacc,True,1
1099,1,1,0,2,0,1,unacc,128,44,acc,False,1
1107,1,1,1,0,0,0,unacc,1,0,unacc,True,1
1109,1,1,1,0,0,2,unacc,9,3,unacc,True,1
1111,1,1,1,0,1,1,unacc,5,2,unacc,True,1
1116,1,1,1,1,0,0,unacc,1,0,unacc,True,1
1125,1,1,1,2,0,0,unacc,1,0,unacc,True,1
1131,1,1,1,2,2,0,unacc,1,0,unacc,True,1
1161,1,1,3,0,0,0,unacc,1,0,unacc,True,1
1164,1,1,3,0,1,0,unacc,1,0,unacc,True,1
1165,1,1,3,0,1,1,unacc,5,2,unacc,True,1
1167,1,1,3,0,2,0,unacc,1,0,unacc,True,1
1169,1,1,3,0,2,2,unacc,9,3,unacc,True,1
1176,1,1,3,1,2,0,unacc,1,0,unacc,True,1
1179,1,1,3,2,0,0,unacc,1,0,unacc,True,1
1190,1,0,0,0,0,2,unacc,9,3,unacc,True,1
1191,1,0,0,0,1,0,unacc,1,0,unacc,True,1
1192,1,0,0,0,1,1,unacc,5,2,unacc,True,1
1193,1,0,0,0,1,2,unacc,9,3,unacc,True,1
1194,1,0,0,0,2,0,unacc,1,0,unacc,True,1
1200,1,0,0,1,1,0,unacc,1,0,unacc,True,1
1207,1,0,0,2,0,1,unacc,127,44,acc,False,1
1209,1,0,0,2,1,0,unacc,1,0,unacc,True,1
1212,1,0,0,2,2,0,unacc,1,0,unacc,True,1
1216,1,0,1,0,0,1,unacc,5,2,unacc,True,1
1217,1,0,1,0,0,2,unacc,9,3,unacc,True,1
1218,1,0,1,0,1,0,unacc,1,0,unacc,True,1
1220,1,0,1,0,1,2,unacc,9,3,unacc,True,1
1221,1,0,1,0,2,0,unacc,1,0,unacc,True,1
1222,1,0,1,0,2,1,unacc,5,2,unacc,True,1
1223,1,0,1,0,2,2,unacc,9,3,unacc,True,1
1224,1,0,1,1,0,0,unacc,1,0,unacc,True,1
1227,1,0,1,1,1,0,unacc,1,0,unacc,True,1
1230,1,0,1,1,2,0,unacc,1,0,unacc,True,1
1236,1,0,1,2,1,0,unacc,1,0,unacc,True,1
1239,1,0,1,2,2,0,unacc,1,0,unacc,True,1
1242,1,0,2,0,0,0,unacc,1,0,unacc,True,1
1245,1,0,2,0,1,0,unacc,1,0,unacc,True,1
1246,1,0,2,0,1,1,unacc,5,2,unacc,True,1
1260,1,0,2,2,0,0,unacc,1,0,unacc,True,1
1266,1,0,2,2,2,0,unacc,1,0,unacc,True,1
1269,1,0,3,0,0,0,unacc,1,0,unacc,True,1
1272,1,0,3,0,1,0,unacc,1,0,unacc,True,1
1273,1,0,3,0,1,1,unacc,5,2,unacc,True,1
1274,1,0,3,0,1,2,unacc,9,3,unacc,True,1
1275,1,0,3,0,2,0,unacc,1,0,unacc,True,1
1276,1,0,3,0,2,1,unacc,5,2,unacc,True,1
1281,1,0,3,1,1,0,unacc,1,0,unacc,True,1
1284,1,0,3,1,2,0,unacc,1,0,unacc,True,1
1290,1,0,3,2,1,0,unacc,1,0,unacc,True,1
1296,0,3,0,0,0,0,unacc,1,0,unacc,True,1
1301,0,3,0,0,1,2,unacc,9,3,unacc,True,1
1303,0,3,0,0,2,1,unacc,5,2,unacc,True,1
1304,0,3,0,0,2,2,unacc,9,3,unacc,True,1
1305,0,3,0,1,0,0,unacc,1,0,unacc,True,1
1306,0,3,0,1,0,1,unacc,95,32,unacc,True,1
1309,0,3,0,1,1,1,unacc,97,32,acc,False,1
1318,0,3,0,2,1,1,unacc,134,48,unacc,True,1
1324,0,3,1,0,0,1,unacc,5,2,unacc,True,1
1326,0,3,1,0,1,0,unacc,1,0,unacc,True,1
1327,0,3,1,0,1,1,unacc,5,2,unacc,True,1
1328,0,3,1,0,1,2,unacc,9,3,unacc,True,1
1331,0,3,1,0,2,2,unacc,9,3,unacc,True,1
1336,0,3,1,1,1,1,unacc,97,32,acc,False,1
1342,0,3,1,2,0,1,unacc,132,45,acc,False,1
1344,0,3,1,2,1,0,unacc,1,0,unacc,True,1
1353,0,3,2,0,1,0,unacc,1,0,unacc,True,1
1354,0,3,2,0,1,1,unacc,5,2,unacc,True,1
1355,0,3,2,0,1,2,unacc,9,3,unacc,True,1
1358,0,3,2,0,2,2,unacc,9,3,unacc,True,1
1362,0,3,2,1,1,0,unacc,1,0,unacc,True,1
1365,0,3,2,1,2,0,unacc,1,0,unacc,True,1
1368,0,3,2,2,0,0,unacc,1,0,unacc,True,1
1371,0,3,2,2,1,0,unacc,1,0,unacc,True,1
1379,0,3,3,0,0,2,unacc,9,3,unacc,True,1
1380,0,3,3,0,1,0,unacc,1,0,unacc,True,1
1383,0,3,3,0,2,0,unacc,1,0,unacc,True,1
1385,0,3,3,0,2,2,unacc,9,3,unacc,True,1
1395,0,3,3,2,0,0,unacc,1,0,unacc,True,1
1401,0,3,3,2,2,0,unacc,1,0,unacc,True,1
1405,0,2,0,0,0,1,unacc,5,2,unacc,True,1
1406,0,2,0,0,0,2,unacc,9,3,unacc,True,1
1408,0,2,0,0,1,1,unacc,5,2,unacc,True,1
1422,0,2,0,2,0,0,unacc,1,0,unacc,True,1
1423,0,2,0,2,0,1,unacc,129,45,unacc,True,1
1424,0,2,0,2,0,2,unacc,159,65,acc,False,1
1432,0,2,1,0,0,1,unacc,5,2,unacc,True,1
1433,0,2,1,0,0,2,unacc,9,3,unacc,True,1
1435,0,2,1,0,1,1,unacc,5,2,unacc,True,1
1439,0,2,1,0,2,2,unacc,9,3,unacc,True,1
1446,0,2,1,1,2,0,unacc,1,0,unacc,True,1
1452,0,2,1,2,1,0,unacc,1,0,unacc,True,1
1459,0,2,2,0,0,1,unacc,5,2,unacc,True,1
1462,0,2,2,0,1,1,unacc,5,2,unacc,True,1
1464,0,2,2,0,2,0,unacc,1,0,unacc,True,1
1467,0,2,2,1,0,0,unacc,1,0,unacc,True,1
1473,0,2,2,1,2,0,unacc,1,0,unacc,True,1
1476,0,2,2,2,0,0,unacc,1,0,unacc,True,1
1479,0,2,2,2,1,0,unacc,1,0,unacc,True,1
1487,0,2,3,0,0,2,unacc,9,3,unacc,True,1
1488,0,2,3,0,1,0,unacc,1,0,unacc,True,1
1489,0,2,3,0,1,1,unacc,5,2,unacc,True,1
1494,0,2,3,1,0,0,unacc,1,0,unacc,True,1
1497,0,2,3,1,1,0,unacc,1,0,unacc,True,1
1509,0,2,3,2,2,0,unacc,1,0,unacc,True,1
1513,0,1,0,0,0,1,unacc,5,2,unacc,True,1
1516,0,1,0,0,1,1,unacc,5,2,unacc,True,1
1539,0,1,1,0,0,0,unacc,1,0,unacc,True,1
1541,0,1,1,0,0,2,unacc,9,3,unacc,True,1
1543,0,1,1,0,1,1,unacc,5,2,unacc,True,1
1544,0,1,1,0,1,2,unacc,9,3,unacc,True,1
1548,0,1,1,1,0,0,unacc,1,0,unacc,True,1
1557,0,1,1,2,0,0,unacc,1,0,unacc,True,1
1567,0,1,2,0,0,1,unacc,5,2,unacc,True,1
1571,0,1,2,0,1,2,unacc,9,3,unacc,True,1
1573,0,1,2,0,2,1,unacc,5,2,unacc,True,1
1574,0,1,2,0,2,2,unacc,9,3,unacc,True,1
1584,0,1,2,2,0,0,unacc,1,0,unacc,True,1
1587,0,1,2,2,1,0,unacc,1,0,unacc,True,1
1596,0,1,3,0,1,0,unacc,1,0,unacc,True,1
1611,0,1,3,2,0,0,unacc,1,0,unacc,True,1
1614,0,1,3,2,1,0,unacc,1,0,unacc,True,1
1622,0,0,0,0,0,2,unacc,9,3,unacc,True,1
