,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
62,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,
63,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
64,y,y,y,n,n,n,y,y,y,n,y,,n,n,n,y
65,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
66,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
67,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
68,y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y
69,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
70,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,
71,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
72,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,
73,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
74,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
75,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
76,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,
77,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
78,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
79,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
80,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,
81,y,n,y,n,n,n,y,y,,y,y,y,n,y,n,y
82,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
83,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
84,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,n
85,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
86,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
87,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
88,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
89,n,n,n,y,y,y,n,n,n,y,n,,y,y,n,
90,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
91,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
92,y,y,y,n,n,n,y,y,n,y,y,n,n,,y,y
93,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
94,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
95,y,n,y,n,y,y,n,,,n,y,,,,y,y
96,n,n,,n,y,y,n,n,n,n,y,y,y,y,n,y
97,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
98,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
99,n,n,n,y,y,y,n,n,n,y,,y,y,y,n,n
100,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
101,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
102,y,n,y,n,y,y,y,n,,n,y,n,y,y,y,
103,y,n,n,n,y,y,,n,,n,n,n,n,y,,n
104,,,,,n,y,y,y,y,y,,n,y,y,n,
105,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
106,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
107,n,,,,,,,,,,,,,y,,
108,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
109,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
110,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
111,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y
112,n,,y,n,n,y,y,y,n,y,n,n,n,n,y,
113,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,n
114,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
115,n,,y,n,,,y,y,y,y,,,n,n,y,y
116,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
117,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
118,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
119,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
120,n,,,y,y,y,n,n,n,y,n,y,y,y,,y
121,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y
122,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
123,y,,n,y,y,y,n,y,n,n,n,y,y,y,n,y
124,n,,y,n,n,n,y,y,y,n,n,n,n,n,y,y
125,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y
126,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,n
127,n,,y,n,n,n,y,y,y,y,y,n,n,y,y,y
128,n,,y,n,n,y,n,y,n,y,y,n,n,n,y,y
129,,,y,n,n,n,y,y,,n,,,,,,
130,y,,y,n,,,y,y,y,n,n,n,n,n,y,
131,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
132,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
134,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,
135,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
136,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
137,n,,y,n,n,y,y,y,y,y,n,n,n,y,y,y
138,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
139,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
140,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
141,n,n,n,y,y,y,y,y,y,y,n,y,y,y,,y
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
143,,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
144,n,,n,n,n,y,y,y,y,y,n,n,n,y,n,
145,n,n,y,n,n,y,y,y,y,y,n,n,n,y,,y
146,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
147,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
148,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
149,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
150,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
151,y,y,,y,y,y,n,n,y,n,y,,y,y,n,n
152,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
153,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
154,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
155,y,y,n,y,y,y,n,,n,n,y,y,y,y,n,n
156,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
157,n,y,y,n,n,y,n,y,y,n,y,n,,,,
158,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
159,n,y,y,n,,y,y,y,y,y,y,n,n,,n,
160,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
161,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
162,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
163,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
164,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,
165,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,
166,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
167,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
168,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,
169,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
170,y,n,y,n,n,n,,y,y,,n,n,n,n,y,
171,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y
172,n,y,y,n,n,n,y,y,y,y,n,n,,n,y,y
173,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
174,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
175,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
176,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
177,n,n,y,n,n,n,y,y,y,y,y,,n,n,y,y
178,,n,y,n,n,n,y,y,y,y,y,,n,n,y,
179,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
180,,,y,n,n,n,y,y,y,,,n,n,n,,
181,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
182,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,y
183,,,,,,,,,y,,,,,,,
184,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
185,y,n,y,n,n,n,y,y,y,y,n,,n,n,y,y
186,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
187,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
188,y,,n,y,y,y,y,y,n,n,n,y,,y,,
189,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
190,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,
191,n,y,n,y,y,y,n,,n,y,n,y,y,y,n,
192,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
193,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
194,n,n,y,n,n,y,y,,y,y,y,n,n,n,y,y
195,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,
196,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,
197,n,,y,y,y,y,n,n,n,y,n,n,n,y,n,y
198,n,n,y,n,n,n,y,y,y,y,y,n,,n,y,
199,y,y,n,n,n,n,y,y,,n,y,n,n,n,y,
200,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
201,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
202,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
203,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
204,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
205,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
206,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
207,y,,n,y,y,y,y,n,n,y,n,y,y,y,n,y
208,n,n,y,n,n,n,y,y,y,n,n,,n,n,y,y
209,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
210,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
211,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
212,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
213,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
214,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
215,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,
216,y,y,y,n,y,y,n,n,,y,n,n,n,y,y,
217,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
218,y,,y,n,n,n,y,y,y,n,,n,n,n,y,
219,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
220,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
221,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,
222,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,
223,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
224,n,y,n,y,y,y,n,n,n,y,n,,y,y,n,n
225,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,y
226,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
227,y,n,y,n,n,n,y,y,y,n,n,n,n,n,,y
228,n,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
229,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
230,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
231,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
232,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,
233,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
234,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,
235,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
236,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
237,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
238,y,y,y,n,n,n,y,y,,y,n,n,n,n,y,
239,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
240,n,n,n,y,n,y,y,,y,n,n,y,y,y,n,y
241,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
242,n,n,n,n,y,y,y,n,n,n,n,,n,y,y,y
243,n,y,y,n,n,n,y,y,,y,n,n,y,n,y,y
244,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
245,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
246,n,n,y,n,y,n,y,y,y,n,n,n,n,y,,y
247,n,y,n,y,y,y,,n,n,n,n,,y,y,n,n
248,,,,,,,,,,,,,,,,
249,y,n,y,n,n,n,y,y,,n,y,n,n,n,y,y
250,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
252,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
253,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
254,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
255,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
256,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,,y
258,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
259,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
260,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
261,y,n,y,n,n,,y,y,y,n,,,n,,,
262,y,n,y,n,n,n,y,y,y,y,n,n,,n,y,y
263,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
265,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
266,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
267,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
268,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
270,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
271,n,y,y,n,n,y,y,y,y,n,,n,n,n,n,y
272,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,
273,n,n,n,y,y,n,y,y,n,y,n,y,y,y,,y
274,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
275,n,n,y,n,y,y,n,n,n,n,,n,y,y,n,n
276,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
277,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
278,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
279,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
280,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
281,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,
282,y,n,n,y,y,y,n,n,n,y,n,,y,y,n,n
283,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
284,n,n,y,n,n,y,y,y,y,y,y,n,n,n,,y
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
286,n,n,y,n,n,y,,y,,y,y,y,n,y,y,
287,y,y,y,,n,y,y,y,y,n,y,n,y,n,,y
288,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,
290,y,n,y,n,,y,,y,y,y,n,n,y,y,n,y
291,y,n,y,n,n,y,y,y,y,y,n,,n,y,n,y
292,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
293,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
294,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,
295,n,y,n,y,y,y,,,n,y,n,y,,,,
296,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
297,y,y,y,n,n,y,y,y,y,y,n,n,,n,y,
298,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
299,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
300,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
301,n,n,,n,n,y,y,y,y,n,n,n,n,n,y,y
302,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
303,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
304,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,
305,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
306,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
307,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,
308,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
309,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
310,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
311,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
312,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
313,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
314,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
315,n,y,y,y,y,y,y,,n,n,n,n,,,y,
316,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
317,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
318,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
319,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
320,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
321,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
322,y,y,y,n,,y,n,,n,n,y,n,y,y,n,
323,y,y,y,n,y,y,n,y,,y,n,n,y,y,n,
324,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
325,n,y,n,n,y,y,n,n,,n,n,y,y,y,n,y
326,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
327,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
328,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
329,y,,y,n,n,y,y,y,y,y,n,n,n,n,y,
330,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
331,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
332,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,
333,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
334,n,y,y,n,n,y,y,y,,n,y,y,n,n,y,y
335,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,
336,n,n,y,n,n,y,y,y,n,n,y,n,n,y,,y
337,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
338,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
339,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
340,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
341,n,,y,,n,y,y,y,y,y,y,n,,,y,y
342,n,y,y,n,y,,y,n,n,y,y,n,y,n,y,y
343,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
344,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
345,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
346,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
347,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
348,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,
349,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
350,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
351,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
352,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,
353,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
354,n,y,y,n,n,y,y,y,y,y,n,,n,n,y,y
355,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
356,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
358,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,
359,n,n,n,y,y,y,n,n,n,y,,y,y,y,n,y
360,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
361,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,
362,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
363,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
364,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
365,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
366,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,
367,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,
368,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
369,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
370,y,y,y,n,,y,y,y,n,y,,,n,n,y,y
371,y,y,y,n,,n,y,y,y,y,n,n,n,n,y,
372,n,y,y,y,y,y,n,n,n,n,y,y,,y,n,n
373,n,y,y,,y,y,n,y,n,y,,n,y,y,,y
374,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
375,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
376,y,,y,n,n,n,y,y,y,n,y,n,n,n,y,y
377,n,y,n,y,y,y,,,n,n,,,y,,,
378,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
380,y,y,y,n,n,y,,y,y,n,y,n,y,n,y,y
381,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,
382,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,
383,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
384,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
385,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
386,n,,y,n,y,y,n,y,n,n,y,n,n,n,n,
387,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,
388,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,
389,y,n,y,n,n,n,y,y,y,,y,n,n,n,y,
390,,,n,n,,y,,n,n,n,y,y,n,y,n,
391,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
392,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
393,,,,,n,y,n,y,y,n,n,y,y,n,n,
394,y,y,,,,y,n,n,n,n,y,n,y,n,n,y
395,y,y,y,,n,n,n,y,n,n,y,,n,n,y,y
396,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
397,y,y,n,n,y,,n,n,n,n,y,n,y,y,n,y
398,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
399,n,y,n,y,,y,n,n,n,y,n,y,y,y,n,n
400,n,y,n,y,y,y,n,,n,n,,,,y,n,
401,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
402,,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
403,n,y,n,y,y,y,n,n,n,y,n,y,,y,n,n
404,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
405,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
406,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
407,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
408,y,n,y,n,n,y,y,y,y,n,n,y,,y,y,y
409,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
410,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
411,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
412,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
