,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
146,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
148,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican,1,0,republican,True,9
158,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
167,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,republican,1,0,republican,True,9
171,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
176,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,republican,1,0,republican,True,9
211,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
214,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
217,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
223,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
229,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
230,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
235,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican,1,0,republican,True,9
239,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,republican,1,0,republican,True,9
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,republican,2,0,democrat,False,9
250,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
251,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
253,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
256,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,republican,1,0,republican,True,9
278,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
279,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
295,-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0,republican,1,0,republican,True,9
296,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,republican,1,0,republican,True,9
302,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
304,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican,1,0,republican,True,9
306,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
313,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
314,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,republican,1,0,republican,True,9
324,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican,1,0,republican,True,9
327,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
335,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,republican,1,0,republican,True,9
343,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,republican,1,0,republican,True,9
349,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
351,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,republican,1,0,republican,True,9
355,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,republican,1,0,republican,True,9
356,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
357,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
369,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican,1,0,republican,True,9
374,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
377,-1,1,-1,1,1,1,0,0,-1,-1,0,0,1,0,0,0,republican,1,0,republican,True,9
378,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
392,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican,1,0,republican,True,9
409,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
413,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1,republican,1,0,republican,True,9
420,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,republican,1,0,republican,True,9
427,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
434,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,republican,1,0,republican,True,9
5,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,democrat,3,0,democrat,True,9
6,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,democrat,1,0,republican,False,9
9,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,democrat,3,0,democrat,True,9
12,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,0,democrat,3,0,democrat,True,9
23,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
25,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
26,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
31,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
39,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
40,1,1,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,0,democrat,3,0,democrat,True,9
41,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
44,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0,democrat,3,0,democrat,True,9
47,1,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,0,democrat,3,0,democrat,True,9
50,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
52,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,democrat,3,0,democrat,True,9
54,1,1,1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0,democrat,3,0,democrat,True,9
63,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
69,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
70,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0,democrat,3,0,democrat,True,9
72,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
76,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,democrat,3,0,democrat,True,9
78,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,democrat,3,0,democrat,True,9
80,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,0,democrat,3,0,democrat,True,9
81,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,democrat,3,0,democrat,True,9
90,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
97,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,democrat,3,0,democrat,True,9
98,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
100,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,democrat,3,0,democrat,True,9
101,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,democrat,3,0,democrat,True,9
103,1,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,1,0,-1,democrat,3,0,democrat,True,9
110,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
114,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
118,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
124,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
129,0,0,1,-1,-1,-1,1,1,0,-1,0,0,0,0,0,0,democrat,3,0,democrat,True,9
138,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,democrat,3,0,democrat,True,9
139,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
145,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1,democrat,3,0,democrat,True,9
147,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,democrat,3,0,democrat,True,9
149,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
151,1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1,democrat,1,0,republican,False,9
153,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,democrat,3,0,democrat,True,9
159,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0,democrat,3,0,democrat,True,9
165,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0,democrat,3,0,democrat,True,9
168,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0,democrat,1,0,republican,False,9
170,1,-1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
173,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,democrat,3,0,democrat,True,9
177,-1,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1,democrat,3,0,democrat,True,9
179,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
181,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
182,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
185,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,democrat,3,0,democrat,True,9
186,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
187,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
192,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,9
196,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,0,democrat,3,0,democrat,True,9
205,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,democrat,3,0,democrat,True,9
209,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
212,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
215,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,democrat,1,0,republican,False,9
216,1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0,democrat,3,0,democrat,True,9
219,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,9
222,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
241,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,9
243,-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
244,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
252,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
258,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
259,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
261,1,-1,1,-1,-1,0,1,1,1,-1,0,0,-1,0,0,0,democrat,3,0,democrat,True,9
264,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
265,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
270,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
287,1,1,1,0,-1,1,1,1,1,-1,1,-1,1,-1,0,1,democrat,2,0,democrat,True,9
288,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,democrat,3,0,democrat,True,9
289,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,democrat,3,0,democrat,True,9
291,1,-1,1,-1,-1,1,1,1,1,1,-1,0,-1,1,-1,1,democrat,3,0,democrat,True,9
293,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,democrat,3,0,democrat,True,9
301,-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
309,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,9
311,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,democrat,3,0,democrat,True,9
316,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,democrat,3,0,democrat,True,9
317,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
320,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,democrat,3,0,democrat,True,9
329,1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
331,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,9
338,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,9
341,-1,0,1,0,-1,1,1,1,1,1,1,-1,0,0,1,1,democrat,2,0,democrat,True,9
342,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
348,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,democrat,3,0,democrat,True,9
352,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,0,democrat,1,0,republican,False,9
354,-1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,democrat,3,0,democrat,True,9
358,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,democrat,3,0,democrat,True,9
362,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,democrat,3,0,democrat,True,9
365,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,democrat,3,0,democrat,True,9
370,1,1,1,-1,0,1,1,1,-1,1,0,0,-1,-1,1,1,democrat,3,0,democrat,True,9
373,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,0,1,democrat,2,0,democrat,True,9
384,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,democrat,1,0,republican,False,9
387,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0,democrat,3,0,democrat,True,9
394,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,democrat,2,0,democrat,True,9
396,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
397,1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,democrat,3,0,democrat,True,9
408,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1,democrat,3,0,democrat,True,9
418,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,9
426,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,9
428,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,9
429,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,0,1,1,democrat,3,0,democrat,True,9
345,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,republican,1,0,republican,True,10
225,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
347,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
430,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
410,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican,1,0,republican,True,10
403,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,republican,1,0,republican,True,10
53,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
120,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,republican,1,0,republican,True,10
123,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
67,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
364,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,republican,1,0,republican,True,10
140,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,republican,1,0,republican,True,10
231,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
11,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,0,0,republican,1,0,republican,True,10
141,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,republican,1,0,republican,True,10
156,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
132,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican,1,0,republican,True,10
37,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican,1,0,republican,True,10
379,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
155,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,republican,1,0,republican,True,10
224,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican,1,0,republican,True,10
340,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,republican,1,0,republican,True,10
399,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
400,-1,1,-1,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0,republican,1,0,republican,True,10
190,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican,1,0,republican,True,10
150,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
359,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican,1,0,republican,True,10
55,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican,1,0,republican,True,10
273,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,republican,1,0,republican,True,10
166,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,republican,1,0,republican,True,10
433,-1,-1,-1,1,1,1,0,0,0,0,-1,1,1,1,-1,1,republican,1,0,republican,True,10
163,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
36,1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,republican,1,0,republican,True,10
33,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
300,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
35,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
228,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,republican,1,0,republican,True,10
330,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
82,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
49,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
303,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
393,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0,republican,2,0,democrat,False,10
8,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
135,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,10
416,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,republican,1,0,republican,True,10
402,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,republican,1,0,republican,True,10
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
204,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
117,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
310,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,republican,1,0,republican,True,10
353,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,republican,1,0,republican,True,10
404,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
121,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
99,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,republican,1,0,republican,True,10
363,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,republican,1,0,republican,True,10
65,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
125,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
282,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican,1,0,republican,True,10
277,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,republican,1,0,republican,True,10
191,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,republican,1,0,republican,True,10
142,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
346,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
107,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican,2,0,democrat,False,10
401,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican,1,0,republican,True,10
57,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
233,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,10
421,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,10
45,1,1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,10
