,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
12,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,0,democrat,3,0,democrat,True,1
17,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
22,1,0,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,democrat,3,0,democrat,True,1
24,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
29,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
32,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
34,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
39,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
41,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
42,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
44,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0,democrat,3,0,democrat,True,1
46,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
52,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,democrat,3,0,democrat,True,1
62,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,democrat,3,0,democrat,True,1
68,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
69,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
74,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
75,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,democrat,16,10,republican,False,1
77,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,democrat,16,10,republican,False,1
80,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,0,democrat,3,0,democrat,True,1
92,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,1,1,democrat,3,0,democrat,True,1
96,-1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,democrat,3,0,democrat,True,1
98,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
100,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,democrat,3,0,democrat,True,1
105,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
112,-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
116,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
128,-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
137,-1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
138,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,democrat,3,0,democrat,True,1
143,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
144,-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0,democrat,3,0,democrat,True,1
151,1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1,democrat,21,17,democrat,True,1
157,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,0,0,0,0,democrat,3,0,democrat,True,1
160,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,democrat,3,0,democrat,True,1
161,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,democrat,3,0,democrat,True,1
165,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0,democrat,3,0,democrat,True,1
177,-1,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1,democrat,3,0,democrat,True,1
178,0,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,0,democrat,3,0,democrat,True,1
180,0,0,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,0,0,democrat,3,0,democrat,True,1
185,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,democrat,3,0,democrat,True,1
189,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
194,-1,-1,1,-1,-1,1,1,0,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
196,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,0,democrat,3,0,democrat,True,1
198,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,0,-1,1,0,democrat,3,0,democrat,True,1
199,1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
200,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
203,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
205,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,democrat,3,0,democrat,True,1
218,1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
219,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
222,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
226,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
227,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,democrat,3,0,democrat,True,1
234,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,0,democrat,3,0,democrat,True,1
236,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
237,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,democrat,3,0,democrat,True,1
241,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
245,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
255,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
258,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
262,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,democrat,3,0,democrat,True,1
264,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
265,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
270,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
272,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
275,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,democrat,3,0,democrat,True,1
280,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,democrat,3,0,democrat,True,1
285,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
287,1,1,1,0,-1,1,1,1,1,-1,1,-1,1,-1,0,1,democrat,7,2,democrat,True,1
292,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,democrat,3,0,democrat,True,1
294,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0,democrat,3,0,democrat,True,1
298,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
309,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,democrat,3,0,democrat,True,1
316,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,democrat,3,0,democrat,True,1
322,1,1,1,-1,0,1,-1,0,-1,-1,1,-1,1,1,-1,0,democrat,3,0,democrat,True,1
323,1,1,1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,0,democrat,3,0,democrat,True,1
331,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
332,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
333,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
334,-1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1,democrat,3,0,democrat,True,1
342,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
344,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
348,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,democrat,3,0,democrat,True,1
350,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,democrat,3,0,democrat,True,1
358,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,democrat,3,0,democrat,True,1
360,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,democrat,3,0,democrat,True,1
361,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0,democrat,3,0,democrat,True,1
365,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,democrat,3,0,democrat,True,1
366,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,0,democrat,3,0,democrat,True,1
373,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,0,1,democrat,7,2,democrat,True,1
381,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0,democrat,3,0,democrat,True,1
382,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,democrat,20,17,republican,False,1
385,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,democrat,3,0,democrat,True,1
387,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0,democrat,3,0,democrat,True,1
389,1,-1,1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,1,0,democrat,3,0,democrat,True,1
390,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,-1,0,democrat,3,0,democrat,True,1
391,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,democrat,3,0,democrat,True,1
394,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,democrat,7,2,democrat,True,1
407,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,democrat,16,10,republican,False,1
411,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
414,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat,3,0,democrat,True,1
424,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1,democrat,3,0,democrat,True,1
428,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat,3,0,democrat,True,1
136,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,republican,23,18,democrat,False,2
351,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,republican,13,5,republican,True,2
296,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,republican,13,5,republican,True,2
0,-1,1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican,23,18,democrat,False,2
66,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,republican,17,12,republican,True,2
357,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
251,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
355,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,republican,13,5,republican,True,2
378,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
303,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
410,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican,17,12,republican,True,2
343,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,republican,13,5,republican,True,2
14,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,0,-1,0,republican,13,5,republican,True,2
133,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
250,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
7,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,republican,13,5,republican,True,2
188,1,0,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0,republican,13,5,republican,True,2
166,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,republican,13,5,republican,True,2
239,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,republican,13,5,republican,True,2
277,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,republican,13,5,republican,True,2
247,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1,republican,13,5,republican,True,2
171,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
125,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
197,-1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,republican,13,5,republican,True,2
403,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,republican,13,5,republican,True,2
276,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,republican,13,5,republican,True,2
142,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
315,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0,republican,13,5,republican,True,2
302,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
123,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
58,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
155,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,republican,17,12,republican,True,2
8,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
61,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
38,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
353,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,republican,17,12,republican,True,2
339,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican,17,12,republican,True,2
346,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
195,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican,13,5,republican,True,2
434,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,republican,13,5,republican,True,2
393,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0,republican,7,2,republican,True,2
89,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,republican,13,5,republican,True,2
36,1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,republican,13,5,republican,True,2
191,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,republican,13,5,republican,True,2
126,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
148,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican,23,18,democrat,False,2
37,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican,13,5,republican,True,2
379,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
314,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,republican,17,12,republican,True,2
111,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
119,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
401,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican,17,12,republican,True,2
310,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,republican,13,5,republican,True,2
279,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
412,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
231,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
266,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican,13,5,republican,True,2
117,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,13,5,republican,True,2
217,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
273,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,republican,13,5,republican,True,2
363,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,republican,17,12,republican,True,2
15,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,republican,13,5,republican,True,2
359,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican,17,12,republican,True,2
158,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,13,5,republican,True,2
169,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,democrat,16,9,democrat,True,2
