,buying_high,buying_low,buying_med,buying_vhigh,maint_high,maint_low,maint_med,maint_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lug_boot_big,lug_boot_med,lug_boot_small,safety_high,safety_low,safety_med
39,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
40,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
41,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
42,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
43,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
46,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
48,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
49,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True
50,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
51,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
52,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
53,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False
54,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
55,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
56,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False
57,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
58,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
59,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
60,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
61,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
64,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
65,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
66,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
68,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
70,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
71,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
74,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
75,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
77,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
78,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
79,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
84,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
86,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False
87,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
88,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
89,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False
90,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
91,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
92,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
93,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
94,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
95,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
96,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
98,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
100,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
101,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
102,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
103,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
104,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
105,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
106,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
107,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False
108,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
109,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
110,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
111,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
112,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
113,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
114,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
116,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
117,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
120,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
121,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
122,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
124,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
126,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
127,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
128,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
129,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
130,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
131,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
133,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
134,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
135,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
137,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False
138,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
139,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
140,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
141,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
143,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
144,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
145,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
146,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
147,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
148,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
149,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
150,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
151,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
152,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
153,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
154,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
155,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
157,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
160,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True
161,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
165,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
167,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
168,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
169,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
170,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
171,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
172,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
173,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
174,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
175,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
177,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
178,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
180,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
181,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
182,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
183,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
184,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
185,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
188,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
189,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
190,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
192,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
193,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
194,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
195,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
196,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
197,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
198,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
199,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
201,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False
202,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
204,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
206,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
207,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
208,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
209,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False
210,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
211,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
212,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
214,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
215,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
216,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False
217,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True
218,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
219,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False
221,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False
222,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False
223,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True
225,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False
226,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True
228,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
229,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True
234,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
235,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
236,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False
237,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
238,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
240,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False
243,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
245,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
246,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
247,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
248,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
249,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
251,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
252,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
253,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
255,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
256,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
264,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
267,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False
270,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
271,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
272,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False
273,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
274,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
275,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False
276,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
277,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
278,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
279,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
280,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
282,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
285,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
288,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
289,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True
291,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
294,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
297,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False
298,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
300,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
302,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
303,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False
304,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
305,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False
306,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
307,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True
312,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
315,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False
316,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
318,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
324,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
325,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
326,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
327,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
328,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
329,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
330,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
331,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
332,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
333,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
336,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
339,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
342,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
343,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
344,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
346,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
348,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
351,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
352,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
355,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
356,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
357,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
358,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
359,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
360,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
361,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
363,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
364,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
366,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
369,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
378,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
379,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
381,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
382,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
383,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
386,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
387,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
388,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
390,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
393,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
396,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
397,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
399,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
402,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
405,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
406,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
407,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False
408,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
410,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
412,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
413,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
414,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
415,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
417,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False
423,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
424,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
426,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
429,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False
432,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False
433,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True
435,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
436,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True
438,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False
439,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True
440,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False
441,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False
442,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True
443,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False
445,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True
446,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
448,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True
449,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False
450,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
451,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
452,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False
453,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
454,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True
456,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False
457,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True
458,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
461,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False
463,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
464,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
465,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
