,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
334,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16,215,130,11.673015873015872,18.722791635172594,1
335,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11,218,133,11.56993006993007,0.3248202846104945,1
336,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,218,133,11.56993006993007,5.905239865030074,1
338,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13,218,133,11.56993006993007,2.0451000048902146,1
344,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,184,108,8.363636363636363,0.13223140495867744,1
345,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,207,125,8.421052631578947,20.966759002770086,1
348,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,175,101,9.0,1.0,1
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,215,130,11.673015873015872,106.64660115898212,1
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,218,133,11.56993006993007,0.18496014475035447,1
353,M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,207,125,8.421052631578947,0.33518005540166257,1
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,218,133,11.56993006993007,41.345799305589516,1
364,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,215,130,11.673015873015872,0.10691861929957208,1
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,218,133,11.56993006993007,0.3248202846104945,1
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,218,133,11.56993006993007,0.18496014475035447,1
374,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,218,133,11.56993006993007,2.0451000048902146,1
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,218,133,11.56993006993007,0.3248202846104945,1
381,M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,218,133,11.56993006993007,2.4646804244706346,1
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,207,125,8.421052631578947,12.808864265927982,1
387,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,207,125,8.421052631578947,2.493074792243769,1
388,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,207,125,8.421052631578947,31.124653739612192,1
395,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11,175,101,9.0,4.0,1
396,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,184,108,8.363636363636363,2.677685950413224,1
401,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,207,125,8.421052631578947,0.33518005540166257,1
405,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12,184,108,8.363636363636363,13.22314049586777,1
406,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8,207,125,8.421052631578947,0.1772853185595564,1
407,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,218,133,11.56993006993007,19.625519585309796,1
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,215,130,11.673015873015872,0.4529503653313169,1
414,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,215,130,11.673015873015872,5.414855127236082,1
419,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,207,125,8.421052631578947,20.966759002770086,1
420,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14,215,130,11.673015873015872,5.414855127236082,1
425,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13,218,133,11.56993006993007,2.0451000048902146,1
434,I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13,175,101,9.0,16.0,1
435,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11,207,125,8.421052631578947,6.650969529085875,1
436,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7,175,101,9.0,4.0,1
439,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,218,133,11.56993006993007,2.0451000048902146,1
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10,175,101,9.0,1.0,1
441,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,175,101,9.0,1.0,1
442,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19,215,130,11.673015873015872,53.68469639707736,1
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,175,101,9.0,1.0,1
444,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,184,108,8.363636363636363,2.677685950413224,1
445,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9,215,130,11.673015873015872,7.145013857394806,1
447,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,218,133,11.56993006993007,19.625519585309796,1
448,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,218,133,11.56993006993007,0.18496014475035447,1
449,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,215,130,11.673015873015872,40.0307281431091,1
452,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,215,130,11.673015873015872,28.37675988914085,1
457,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9,175,101,9.0,0.0,1
459,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,184,108,8.363636363636363,6.950413223140497,1
461,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,215,130,11.673015873015872,0.10691861929957208,1
468,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,215,130,11.673015873015872,28.37675988914085,1
470,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9,184,108,8.363636363636363,0.40495867768595084,1
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,175,101,9.0,0.0,1
473,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11,184,108,8.363636363636363,6.950413223140497,1
478,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21,218,133,11.56993006993007,88.9262188860091,1
479,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,218,133,11.56993006993007,19.625519585309796,1
481,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,218,133,11.56993006993007,29.485659445449656,1
487,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15,215,130,11.673015873015872,11.068823381204338,1
488,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11,207,125,8.421052631578947,6.650969529085875,1
491,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,218,133,11.56993006993007,2.0451000048902146,1
493,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,218,133,11.56993006993007,11.765379725169934,1
499,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10,218,133,11.56993006993007,2.4646804244706346,1
503,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,215,130,11.673015873015872,1.7608868732678273,1
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15,218,133,11.56993006993007,11.765379725169934,1
506,M,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12,218,133,11.56993006993007,0.18496014475035447,1
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11,218,133,11.56993006993007,0.3248202846104945,1
511,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10,184,108,8.363636363636363,2.677685950413224,1
516,M,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9,207,125,8.421052631578947,0.33518005540166257,1
517,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5,207,125,8.421052631578947,11.703601108033238,1
519,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6,184,108,8.363636363636363,5.5867768595041305,1
520,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,207,125,8.421052631578947,29.387811634349024,1
521,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5,184,108,8.363636363636363,11.314049586776857,1
523,M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5,207,125,8.421052631578947,11.703601108033238,1
527,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14,184,108,8.363636363636363,31.768595041322317,1
536,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11,175,101,9.0,4.0,1
538,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5,207,125,8.421052631578947,11.703601108033238,1
539,F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10,184,108,8.363636363636363,2.677685950413224,1
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10,184,108,8.363636363636363,2.677685950413224,1
546,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,207,125,8.421052631578947,0.1772853185595564,1
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12,213,128,12.407407407407408,0.165980795610426,1
554,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9,175,101,9.0,0.0,1
558,F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,215,130,11.673015873015872,1.7608868732678273,1
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8,184,108,8.363636363636363,0.13223140495867744,1
561,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13,175,101,9.0,16.0,1
563,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11,184,108,8.363636363636363,6.950413223140497,1
564,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14,184,108,8.363636363636363,31.768595041322317,1
566,I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12,175,101,9.0,9.0,1
568,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7,207,125,8.421052631578947,2.0193905817174502,1
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,213,128,12.407407407407408,5.795610425240059,1
576,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10,213,128,12.407407407407408,5.795610425240059,1
580,F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11,215,130,11.673015873015872,0.4529503653313169,1
585,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11,175,101,9.0,4.0,1
588,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,207,125,8.421052631578947,31.124653739612192,1
592,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18,175,101,9.0,81.0,1
593,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19,215,130,11.673015873015872,53.68469639707736,1
594,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12,207,125,8.421052631578947,12.808864265927982,1
595,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13,213,128,12.407407407407408,0.35116598079560934,1
599,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16,215,130,11.673015873015872,18.722791635172594,1
603,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11,175,101,9.0,4.0,1
605,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13,175,101,9.0,16.0,1
607,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10,175,101,9.0,1.0,1
611,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,207,125,8.421052631578947,19.54570637119113,1
612,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,207,125,8.421052631578947,0.33518005540166257,1
614,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,175,101,9.0,36.0,1
616,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12,184,108,8.363636363636363,13.22314049586777,1
618,M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,207,125,8.421052631578947,0.33518005540166257,1
621,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18,175,101,9.0,81.0,1
622,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,184,108,8.363636363636363,13.22314049586777,1
628,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,213,128,12.407407407407408,73.83264746227708,1
629,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,207,125,8.421052631578947,2.493074792243769,1
630,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9,175,101,9.0,0.0,1
636,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,207,125,8.421052631578947,2.0193905817174502,1
638,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,175,101,9.0,25.0,1
644,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,207,125,8.421052631578947,0.33518005540166257,1
645,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,175,101,9.0,4.0,1
648,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,175,101,9.0,4.0,1
651,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,175,101,9.0,9.0,1
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,184,108,8.363636363636363,2.677685950413224,1
656,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17,215,130,11.673015873015872,28.37675988914085,1
657,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,215,130,11.673015873015872,18.722791635172594,1
658,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18,213,128,12.407407407407408,31.277091906721527,1
659,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11,215,130,11.673015873015872,0.4529503653313169,1
663,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12,184,108,8.363636363636363,13.22314049586777,1
664,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19,175,101,9.0,100.0,1
668,M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13,218,133,11.56993006993007,2.0451000048902146,1
669,F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13,184,108,8.363636363636363,21.495867768595044,1
