,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86,37,20,139.0,2809.0,1
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111,37,20,139.0,784.0,1
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214,44,28,318.55555555555554,10931.864197530862,1
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277,44,28,318.55555555555554,1726.864197530863,1
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326,44,28,318.55555555555554,55.41975308641994,1
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12,37,20,139.0,16129.0,1
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21,37,20,139.0,13924.0,1
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34,37,20,139.0,11025.0,1
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46,37,20,139.0,8649.0,1
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51,44,28,318.55555555555554,71585.97530864197,1
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116,44,28,318.55555555555554,41028.75308641975,1
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25,37,20,139.0,12996.0,1
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30,37,20,139.0,11881.0,1
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41,37,20,139.0,9604.0,1
173,250.0,512.0,4000.0,0.0,1.0,7.0,25,37,20,139.0,12996.0,1
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50,37,20,139.0,7921.0,1
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33,44,28,318.55555555555554,81541.97530864197,1
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75,44,28,318.55555555555554,59319.3086419753,1
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113,44,28,318.55555555555554,42253.08641975308,1
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173,44,28,318.55555555555554,21186.419753086415,1
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405,44,28,318.55555555555554,7472.641975308644,1
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70,37,20,139.0,4761.0,1
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114,44,28,318.55555555555554,41842.97530864197,1
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208,44,28,318.55555555555554,12222.530864197528,1
198,30.0,8000.0,64000.0,96.0,12.0,176.0,915,44,28,318.55555555555554,355745.97530864197,1
200,180.0,262.0,4000.0,0.0,1.0,3.0,12,37,20,139.0,16129.0,1
202,180.0,262.0,4000.0,0.0,1.0,3.0,18,37,20,139.0,14641.0,1
203,180.0,512.0,4000.0,0.0,1.0,3.0,21,37,20,139.0,13924.0,1
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52,37,20,139.0,7569.0,1
207,480.0,512.0,8000.0,32.0,0.0,0.0,67,37,20,139.0,5184.0,1
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45,37,20,139.0,8836.0,1
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40,52,29,45.5,30.25,2
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74,31,15,402.2857142857143,107771.51020408163,2
17,143.0,512.0,5000.0,0.0,7.0,32.0,28,52,29,45.5,306.25,2
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274,31,15,402.2857142857143,16457.224489795917,2
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,52,29,45.5,420.25,2
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,52,29,45.5,650.25,2
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18,52,29,45.5,756.25,2
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63,31,15,402.2857142857143,115114.79591836734,2
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40,52,29,45.5,30.25,2
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,52,29,45.5,110.25,2
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143,31,15,402.2857142857143,67229.08163265306,2
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134,31,15,402.2857142857143,71977.22448979592,2
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489,31,15,402.2857142857143,7519.367346938777,2
181,240.0,512.0,1000.0,8.0,1.0,3.0,6,52,29,45.5,1560.25,2
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16,52,29,45.5,870.25,2
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62,52,29,45.5,272.25,2
76,300.0,768.0,4500.0,0.0,1.0,24.0,45,52,29,45.5,0.25,2
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76,52,29,45.5,930.25,2
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60,31,15,402.2857142857143,117159.51020408163,2
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34,52,29,45.5,132.25,2
61,800.0,256.0,8000.0,0.0,1.0,4.0,22,52,29,45.5,552.25,2
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7,52,29,45.5,1482.25,2
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212,31,15,402.2857142857143,36208.65306122449,2
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510,31,15,402.2857142857143,11602.367346938778,2
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32,52,29,45.5,182.25,2
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46,31,15,402.2857142857143,126939.51020408163,2
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172,31,15,402.2857142857143,53031.51020408163,2
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8,52,29,45.5,1406.25,2
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22,52,29,45.5,552.25,2
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277,52,29,45.5,53592.25,2
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37,52,29,45.5,72.25,2
174,250.0,512.0,4000.0,0.0,4.0,7.0,50,52,29,45.5,20.25,2
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30,52,29,45.5,240.25,2
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138,31,15,402.2857142857143,69846.9387755102,2
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140,31,15,402.2857142857143,68793.79591836734,2
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22,52,29,45.5,552.25,2
0,125.0,256.0,6000.0,256.0,16.0,128.0,198,31,15,402.2857142857143,41732.65306122449,2
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38,52,29,45.5,56.25,2
79,180.0,768.0,12000.0,6.0,1.0,31.0,84,52,29,45.5,1482.25,2
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,31,15,402.2857142857143,87785.22448979592,2
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368,31,15,402.2857142857143,1175.510204081632,2
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72,52,29,45.5,702.25,2
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,52,29,45.5,210.25,2
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130,31,15,402.2857142857143,74139.51020408163,2
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185,52,29,45.5,19460.25,2
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367,31,15,402.2857142857143,1245.0816326530608,2
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36,52,29,45.5,90.25,2
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70,31,15,402.2857142857143,110413.79591836734,2
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60,52,29,45.5,210.25,2
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188,31,15,402.2857142857143,45918.36734693877,2
182,240.0,512.0,2000.0,8.0,1.0,5.0,11,52,29,45.5,1190.25,2
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,31,15,402.2857142857143,66711.51020408163,2
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307,31,15,402.2857142857143,9079.367346938774,2
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42,52,29,45.5,12.25,2
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18,52,29,45.5,756.25,2
50,700.0,384.0,8000.0,0.0,1.0,1.0,24,52,29,45.5,462.25,2
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66,31,15,402.2857142857143,113088.08163265306,2
75,300.0,768.0,12000.0,6.0,6.0,24.0,50,52,29,45.5,20.25,2
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36,52,29,45.5,90.25,2
66,90.0,256.0,1000.0,0.0,3.0,10.0,17,52,29,45.5,812.25,2
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214,31,15,402.2857142857143,35451.51020408163,2
36,50.0,500.0,2000.0,8.0,1.0,4.0,20,52,29,45.5,650.25,2
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60,52,29,45.5,210.25,2
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,52,29,45.5,0.25,2
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,52,29,45.5,380.25,2
59,800.0,256.0,8000.0,0.0,1.0,4.0,20,52,29,45.5,650.25,2
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26,52,29,45.5,380.25,2
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318,31,15,402.2857142857143,7104.08163265306,2
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12,52,29,45.5,1122.25,2
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100,52,29,45.5,2970.25,2
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38,52,29,45.5,56.25,2
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100,31,15,402.2857142857143,91376.65306122448,2
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26,31,15,402.2857142857143,141590.9387755102,2
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29,52,29,45.5,272.25,2
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58,52,29,45.5,156.25,2
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71,52,29,45.5,650.25,2
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248,31,15,402.2857142857143,23804.08163265306,2
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93,31,15,402.2857142857143,95657.65306122448,2
67,105.0,256.0,2000.0,0.0,3.0,10.0,26,52,29,45.5,380.25,2
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17,52,29,45.5,812.25,2
62,125.0,512.0,1000.0,0.0,8.0,20.0,36,52,29,45.5,90.25,2
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397,31,15,402.2857142857143,27.938775510203996,2
27,320.0,256.0,3000.0,4.0,1.0,3.0,27,52,29,45.5,342.25,2
137,150.0,512.0,4000.0,0.0,8.0,128.0,30,52,29,45.5,240.25,2
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172,38,23,481.5,95790.25,3
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132,38,23,481.5,122150.25,3
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489,38,23,481.5,56.25,3
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38,10,4,114.0,5776.0,3
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138,38,23,481.5,117992.25,3
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,10,4,114.0,6241.0,3
16,167.0,524.0,2000.0,8.0,4.0,15.0,19,10,4,114.0,9025.0,3
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,10,4,114.0,6889.0,3
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120,38,23,481.5,130682.25,3
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30,10,4,114.0,7056.0,3
26,320.0,256.0,6000.0,0.0,1.0,6.0,33,10,4,114.0,6561.0,3
29,320.0,256.0,5000.0,4.0,1.0,6.0,27,10,4,114.0,7569.0,3
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32,10,4,114.0,6724.0,3
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,10,4,114.0,64.0,3
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208,10,4,114.0,8836.0,3
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29,10,4,114.0,7225.0,3
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71,10,4,114.0,1849.0,3
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36,10,4,114.0,6084.0,3
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52,10,4,114.0,3844.0,3
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60,10,4,114.0,2916.0,3
46,810.0,512.0,512.0,8.0,1.0,1.0,18,10,4,114.0,9216.0,3
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,10,4,114.0,8836.0,3
49,200.0,512.0,8000.0,8.0,1.0,8.0,62,10,4,114.0,2704.0,3
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,10,4,114.0,8100.0,3
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138,10,4,114.0,576.0,3
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,10,4,114.0,10404.0,3
59,800.0,256.0,8000.0,0.0,1.0,4.0,20,10,4,114.0,8836.0,3
60,800.0,256.0,8000.0,0.0,1.0,4.0,16,10,4,114.0,9604.0,3
62,125.0,512.0,1000.0,0.0,8.0,20.0,36,10,4,114.0,6084.0,3
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,38,23,481.5,113906.25,3
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32,10,4,114.0,6724.0,3
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32,10,4,114.0,6724.0,3
73,300.0,768.0,3000.0,0.0,6.0,24.0,36,10,4,114.0,6084.0,3
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16,10,4,114.0,9604.0,3
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38,10,4,114.0,5776.0,3
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16,10,4,114.0,9604.0,3
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66,38,23,481.5,172640.25,3
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141,38,23,481.5,115940.25,3
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132,10,4,114.0,324.0,3
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237,38,23,481.5,59780.25,3
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465,38,23,481.5,272.25,3
99,480.0,96.0,512.0,0.0,1.0,1.0,6,10,4,114.0,11664.0,3
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24,10,4,114.0,8100.0,3
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7,10,4,114.0,11449.0,3
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13,10,4,114.0,10201.0,3
108,900.0,512.0,1000.0,0.0,1.0,2.0,11,10,4,114.0,10609.0,3
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40,10,4,114.0,5476.0,3
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24,10,4,114.0,8100.0,3
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49,10,4,114.0,4225.0,3
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100,10,4,114.0,196.0,3
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27,10,4,114.0,7569.0,3
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56,10,4,114.0,3364.0,3
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80,10,4,114.0,1156.0,3
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26,10,4,114.0,7744.0,3
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45,10,4,114.0,4761.0,3
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54,10,4,114.0,3600.0,3
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65,10,4,114.0,2401.0,3
137,150.0,512.0,4000.0,0.0,8.0,128.0,30,10,4,114.0,7056.0,3
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50,10,4,114.0,4096.0,3
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86,38,23,481.5,156420.25,3
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93,38,23,481.5,150932.25,3
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143,38,23,481.5,114582.25,3
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214,38,23,481.5,71556.25,3
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277,38,23,481.5,41820.25,3
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510,38,23,481.5,812.25,3
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326,38,23,481.5,24180.25,3
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8,10,4,114.0,11236.0,3
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21,10,4,114.0,8649.0,3
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24,10,4,114.0,8100.0,3
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42,10,4,114.0,5184.0,3
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51,38,23,481.5,185330.25,3
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100,38,23,481.5,145542.25,3
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212,38,23,481.5,72630.25,3
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50,10,4,114.0,4096.0,3
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60,10,4,114.0,2916.0,3
181,240.0,512.0,1000.0,8.0,1.0,3.0,6,10,4,114.0,11664.0,3
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33,10,4,114.0,6561.0,3
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58,10,4,114.0,3136.0,3
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173,38,23,481.5,95172.25,3
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248,38,23,481.5,54522.25,3
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307,38,23,481.5,30450.25,3
200,180.0,262.0,4000.0,0.0,1.0,3.0,12,10,4,114.0,10404.0,3
202,180.0,262.0,4000.0,0.0,1.0,3.0,18,10,4,114.0,9216.0,3
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22,26,13,307.0,81225.0,4
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259,26,13,307.0,2304.0,4
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70,26,13,307.0,56169.0,4
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26,26,13,307.0,78961.0,4
72,175.0,256.0,2000.0,0.0,3.0,24.0,22,26,13,307.0,81225.0,4
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71,26,13,307.0,55696.0,4
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,26,13,307.0,78961.0,4
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510,29,15,307.22222222222223,41118.82716049383,4
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45,26,13,307.0,68644.0,4
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41,26,13,307.0,70756.0,4
203,180.0,512.0,4000.0,0.0,1.0,3.0,21,26,13,307.0,81796.0,4
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40,26,13,307.0,71289.0,4
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30,26,13,307.0,76729.0,4
24,320.0,128.0,6000.0,0.0,1.0,12.0,23,26,13,307.0,80656.0,4
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150,29,15,307.22222222222223,710274.3827160494,4
74,300.0,768.0,3000.0,6.0,6.0,24.0,44,26,13,307.0,69169.0,4
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140,29,15,307.22222222222223,27963.271604938273,4
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134,26,13,307.0,29929.0,4
174,250.0,512.0,4000.0,0.0,4.0,7.0,50,26,13,307.0,66049.0,4
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17,26,13,307.0,84100.0,4
28,320.0,512.0,5000.0,4.0,1.0,5.0,77,26,13,307.0,52900.0,4
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50,26,13,307.0,66049.0,4
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34,26,13,307.0,74529.0,4
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214,29,15,307.22222222222223,8690.382716049384,4
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,26,13,307.0,68644.0,4
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33,29,15,307.22222222222223,75197.82716049383,4
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144,29,15,307.22222222222223,700197.0493827162,4
66,90.0,256.0,1000.0,0.0,3.0,10.0,17,26,13,307.0,84100.0,4
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11,26,13,307.0,87616.0,4
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133,29,15,307.22222222222223,30353.382716049386,4
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35,26,13,307.0,73984.0,4
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,26,13,307.0,58081.0,4
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114,26,13,307.0,37249.0,4
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60,26,13,307.0,61009.0,4
182,240.0,512.0,2000.0,8.0,1.0,5.0,11,26,13,307.0,87616.0,4
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405,29,15,307.22222222222223,9560.493827160493,4
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16,26,13,307.0,84681.0,4
201,180.0,512.0,4000.0,0.0,1.0,3.0,14,26,13,307.0,85849.0,4
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92,26,13,307.0,46225.0,4
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188,29,15,307.22222222222223,14213.93827160494,4
27,320.0,256.0,3000.0,4.0,1.0,3.0,27,26,13,307.0,78400.0,4
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136,29,15,307.22222222222223,29317.04938271605,4
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76,29,15,307.22222222222223,53463.71604938272,4
58,800.0,256.0,8000.0,0.0,1.0,4.0,14,26,13,307.0,85849.0,4
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397,29,15,307.22222222222223,8060.049382716048,4
207,480.0,512.0,8000.0,32.0,0.0,0.0,67,26,13,307.0,57600.0,4
78,300.0,192.0,768.0,6.0,6.0,24.0,36,26,13,307.0,73441.0,4
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105,26,13,307.0,40804.0,4
0,125.0,256.0,6000.0,256.0,16.0,128.0,198,26,13,307.0,11881.0,4
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64,29,15,307.22222222222223,59157.04938271605,4
