,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
99,480.0,96.0,512.0,0.0,1.0,1.0,6,1,0,47.55,1726.4024999999997,1
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24,1,0,47.55,554.6024999999998,1
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13,1,0,47.55,1193.7024999999999,1
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32,1,0,47.55,241.80249999999992,1
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32,1,0,47.55,241.80249999999992,1
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50,1,0,47.55,6.002500000000014,1
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24,1,0,47.55,554.6024999999998,1
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133,44,28,318.55555555555554,34430.86419753086,1
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45,1,0,47.55,6.502499999999985,1
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56,1,0,47.55,71.40250000000005,1
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136,1,0,47.55,7823.4025,1
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16,1,0,47.55,995.4024999999998,1
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45,1,0,47.55,6.502499999999985,1
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54,44,28,318.55555555555554,69989.64197530864,1
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65,44,28,318.55555555555554,64290.41975308641,1
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50,1,0,47.55,6.002500000000014,1
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40,1,0,47.55,57.002499999999955,1
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62,1,0,47.55,208.8025000000001,1
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66,1,0,47.55,340.4025000000001,1
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86,1,0,47.55,1478.4025000000001,1
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111,1,0,47.55,4025.9025,1
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214,44,28,318.55555555555554,10931.864197530862,1
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277,44,28,318.55555555555554,1726.864197530863,1
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326,44,28,318.55555555555554,55.41975308641994,1
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12,1,0,47.55,1263.8024999999998,1
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21,1,0,47.55,704.9024999999998,1
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34,1,0,47.55,183.60249999999994,1
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46,1,0,47.55,2.402499999999991,1
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51,44,28,318.55555555555554,71585.97530864197,1
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116,44,28,318.55555555555554,41028.75308641975,1
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25,1,0,47.55,508.5024999999999,1
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30,1,0,47.55,308.0024999999999,1
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41,1,0,47.55,42.90249999999996,1
173,250.0,512.0,4000.0,0.0,1.0,7.0,25,1,0,47.55,508.5024999999999,1
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50,1,0,47.55,6.002500000000014,1
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33,44,28,318.55555555555554,81541.97530864197,1
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75,44,28,318.55555555555554,59319.3086419753,1
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113,44,28,318.55555555555554,42253.08641975308,1
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173,44,28,318.55555555555554,21186.419753086415,1
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405,44,28,318.55555555555554,7472.641975308644,1
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70,1,0,47.55,504.0025000000001,1
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114,44,28,318.55555555555554,41842.97530864197,1
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208,44,28,318.55555555555554,12222.530864197528,1
198,30.0,8000.0,64000.0,96.0,12.0,176.0,915,44,28,318.55555555555554,355745.97530864197,1
200,180.0,262.0,4000.0,0.0,1.0,3.0,12,1,0,47.55,1263.8024999999998,1
202,180.0,262.0,4000.0,0.0,1.0,3.0,18,1,0,47.55,873.2024999999999,1
203,180.0,512.0,4000.0,0.0,1.0,3.0,21,1,0,47.55,704.9024999999998,1
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52,1,0,47.55,19.802500000000027,1
207,480.0,512.0,8000.0,32.0,0.0,0.0,67,1,0,47.55,378.3025000000001,1
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45,1,0,47.55,6.502499999999985,1
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40,14,6,47.0,49.0,2
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74,31,15,402.2857142857143,107771.51020408163,2
17,143.0,512.0,5000.0,0.0,7.0,32.0,28,14,6,47.0,361.0,2
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274,31,15,402.2857142857143,16457.224489795917,2
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,14,6,47.0,361.0,2
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,14,6,47.0,729.0,2
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18,14,6,47.0,841.0,2
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63,31,15,402.2857142857143,115114.79591836734,2
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40,14,6,47.0,49.0,2
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,14,6,47.0,144.0,2
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143,31,15,402.2857142857143,67229.08163265306,2
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134,31,15,402.2857142857143,71977.22448979592,2
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489,31,15,402.2857142857143,7519.367346938777,2
181,240.0,512.0,1000.0,8.0,1.0,3.0,6,14,6,47.0,1681.0,2
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16,14,6,47.0,961.0,2
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62,14,6,47.0,225.0,2
76,300.0,768.0,4500.0,0.0,1.0,24.0,45,14,6,47.0,4.0,2
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76,14,6,47.0,841.0,2
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60,31,15,402.2857142857143,117159.51020408163,2
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34,14,6,47.0,169.0,2
61,800.0,256.0,8000.0,0.0,1.0,4.0,22,14,6,47.0,625.0,2
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7,14,6,47.0,1600.0,2
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212,31,15,402.2857142857143,36208.65306122449,2
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510,31,15,402.2857142857143,11602.367346938778,2
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32,14,6,47.0,225.0,2
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46,31,15,402.2857142857143,126939.51020408163,2
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172,31,15,402.2857142857143,53031.51020408163,2
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8,14,6,47.0,1521.0,2
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22,14,6,47.0,625.0,2
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277,14,6,47.0,52900.0,2
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37,14,6,47.0,100.0,2
174,250.0,512.0,4000.0,0.0,4.0,7.0,50,14,6,47.0,9.0,2
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30,14,6,47.0,289.0,2
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138,31,15,402.2857142857143,69846.9387755102,2
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140,31,15,402.2857142857143,68793.79591836734,2
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22,14,6,47.0,625.0,2
0,125.0,256.0,6000.0,256.0,16.0,128.0,198,31,15,402.2857142857143,41732.65306122449,2
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38,14,6,47.0,81.0,2
79,180.0,768.0,12000.0,6.0,1.0,31.0,84,14,6,47.0,1369.0,2
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,31,15,402.2857142857143,87785.22448979592,2
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368,31,15,402.2857142857143,1175.510204081632,2
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72,14,6,47.0,625.0,2
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,14,6,47.0,256.0,2
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130,31,15,402.2857142857143,74139.51020408163,2
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185,14,6,47.0,19044.0,2
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367,31,15,402.2857142857143,1245.0816326530608,2
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36,14,6,47.0,121.0,2
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70,31,15,402.2857142857143,110413.79591836734,2
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60,14,6,47.0,169.0,2
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188,31,15,402.2857142857143,45918.36734693877,2
182,240.0,512.0,2000.0,8.0,1.0,5.0,11,14,6,47.0,1296.0,2
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,31,15,402.2857142857143,66711.51020408163,2
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307,31,15,402.2857142857143,9079.367346938774,2
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42,14,6,47.0,25.0,2
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18,14,6,47.0,841.0,2
50,700.0,384.0,8000.0,0.0,1.0,1.0,24,14,6,47.0,529.0,2
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66,31,15,402.2857142857143,113088.08163265306,2
75,300.0,768.0,12000.0,6.0,6.0,24.0,50,14,6,47.0,9.0,2
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36,14,6,47.0,121.0,2
66,90.0,256.0,1000.0,0.0,3.0,10.0,17,14,6,47.0,900.0,2
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214,31,15,402.2857142857143,35451.51020408163,2
36,50.0,500.0,2000.0,8.0,1.0,4.0,20,14,6,47.0,729.0,2
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60,14,6,47.0,169.0,2
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,14,6,47.0,4.0,2
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,14,6,47.0,441.0,2
59,800.0,256.0,8000.0,0.0,1.0,4.0,20,14,6,47.0,729.0,2
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26,14,6,47.0,441.0,2
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318,31,15,402.2857142857143,7104.08163265306,2
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12,14,6,47.0,1225.0,2
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100,14,6,47.0,2809.0,2
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38,14,6,47.0,81.0,2
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100,31,15,402.2857142857143,91376.65306122448,2
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26,31,15,402.2857142857143,141590.9387755102,2
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29,14,6,47.0,324.0,2
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58,14,6,47.0,121.0,2
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71,14,6,47.0,576.0,2
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248,31,15,402.2857142857143,23804.08163265306,2
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93,31,15,402.2857142857143,95657.65306122448,2
67,105.0,256.0,2000.0,0.0,3.0,10.0,26,14,6,47.0,441.0,2
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17,14,6,47.0,900.0,2
62,125.0,512.0,1000.0,0.0,8.0,20.0,36,14,6,47.0,121.0,2
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397,31,15,402.2857142857143,27.938775510203996,2
27,320.0,256.0,3000.0,4.0,1.0,3.0,27,14,6,47.0,400.0,2
137,150.0,512.0,4000.0,0.0,8.0,128.0,30,14,6,47.0,289.0,2
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172,38,23,481.5,95790.25,3
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132,38,23,481.5,122150.25,3
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489,38,23,481.5,56.25,3
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38,1,0,38.83928571428572,0.7044005102040952,3
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138,38,23,481.5,117992.25,3
15,200.0,512.0,16000.0,0.0,4.0,32.0,35,1,0,38.83928571428572,14.74011479591843,3
16,167.0,524.0,2000.0,8.0,4.0,15.0,19,1,0,38.83928571428572,393.59725765306155,3
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31,1,0,38.83928571428572,61.45440051020421,3
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120,38,23,481.5,130682.25,3
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30,1,0,38.83928571428572,78.13297193877565,3
26,320.0,256.0,6000.0,0.0,1.0,6.0,33,1,0,38.83928571428572,34.09725765306132,3
29,320.0,256.0,5000.0,4.0,1.0,6.0,27,1,0,38.83928571428572,140.16868622449,3
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32,1,0,38.83928571428572,46.775829081632764,3
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106,1,0,38.83928571428572,4510.561543367346,3
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208,1,0,38.83928571428572,28615.34725765306,3
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29,1,0,38.83928571428572,96.8115433673471,3
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71,1,0,38.83928571428572,1034.3115433673463,3
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36,1,0,38.83928571428572,8.061543367346985,3
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52,1,0,38.83928571428572,173.20440051020387,3
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60,1,0,38.83928571428572,447.7758290816323,3
46,810.0,512.0,512.0,8.0,1.0,1.0,18,1,0,38.83928571428572,434.275829081633,3
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20,1,0,38.83928571428572,354.9186862244901,3
49,200.0,512.0,8000.0,8.0,1.0,8.0,62,1,0,38.83928571428572,536.4186862244894,3
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,1,0,38.83928571428572,220.20440051020432,3
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138,1,0,38.83928571428572,9832.84725765306,3
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,1,0,38.83928571428572,720.3472576530617,3
59,800.0,256.0,8000.0,0.0,1.0,4.0,20,1,0,38.83928571428572,354.9186862244901,3
60,800.0,256.0,8000.0,0.0,1.0,4.0,16,1,0,38.83928571428572,521.6329719387759,3
62,125.0,512.0,1000.0,0.0,8.0,20.0,36,1,0,38.83928571428572,8.061543367346985,3
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144,38,23,481.5,113906.25,3
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32,1,0,38.83928571428572,46.775829081632764,3
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32,1,0,38.83928571428572,46.775829081632764,3
73,300.0,768.0,3000.0,0.0,6.0,24.0,36,1,0,38.83928571428572,8.061543367346985,3
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16,1,0,38.83928571428572,521.6329719387759,3
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38,1,0,38.83928571428572,0.7044005102040952,3
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16,1,0,38.83928571428572,521.6329719387759,3
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66,38,23,481.5,172640.25,3
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141,38,23,481.5,115940.25,3
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132,1,0,38.83928571428572,8678.918686224488,3
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237,38,23,481.5,59780.25,3
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465,38,23,481.5,272.25,3
99,480.0,96.0,512.0,0.0,1.0,1.0,6,1,0,38.83928571428572,1078.4186862244903,3
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24,1,0,38.83928571428572,220.20440051020432,3
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7,1,0,38.83928571428572,1013.7401147959189,3
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13,1,0,38.83928571428572,667.6686862244902,3
108,900.0,512.0,1000.0,0.0,1.0,2.0,11,1,0,38.83928571428572,775.0258290816331,3
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40,1,0,38.83928571428572,1.3472576530612057,3
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24,1,0,38.83928571428572,220.20440051020432,3
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49,1,0,38.83928571428572,103.2401147959182,3
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100,1,0,38.83928571428572,3740.6329719387745,3
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27,1,0,38.83928571428572,140.16868622449,3
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56,1,0,38.83928571428572,294.4901147959181,3
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80,1,0,38.83928571428572,1694.2044005102034,3
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26,1,0,38.83928571428572,164.84725765306143,3
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45,1,0,38.83928571428572,37.95440051020398,3
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54,1,0,38.83928571428572,229.84725765306098,3
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65,1,0,38.83928571428572,684.3829719387751,3
137,150.0,512.0,4000.0,0.0,8.0,128.0,30,1,0,38.83928571428572,78.13297193877565,3
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50,1,0,38.83928571428572,124.56154336734676,3
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86,38,23,481.5,156420.25,3
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93,38,23,481.5,150932.25,3
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143,38,23,481.5,114582.25,3
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214,38,23,481.5,71556.25,3
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277,38,23,481.5,41820.25,3
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510,38,23,481.5,812.25,3
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326,38,23,481.5,24180.25,3
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8,1,0,38.83928571428572,951.0615433673474,3
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21,1,0,38.83928571428572,318.24011479591866,3
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24,1,0,38.83928571428572,220.20440051020432,3
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42,1,0,38.83928571428572,9.990114795918316,3
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51,38,23,481.5,185330.25,3
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100,38,23,481.5,145542.25,3
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212,38,23,481.5,72630.25,3
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50,1,0,38.83928571428572,124.56154336734676,3
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60,1,0,38.83928571428572,447.7758290816323,3
181,240.0,512.0,1000.0,8.0,1.0,3.0,6,1,0,38.83928571428572,1078.4186862244903,3
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33,1,0,38.83928571428572,34.09725765306132,3
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58,1,0,38.83928571428572,367.1329719387752,3
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173,38,23,481.5,95172.25,3
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248,38,23,481.5,54522.25,3
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307,38,23,481.5,30450.25,3
200,180.0,262.0,4000.0,0.0,1.0,3.0,12,1,0,38.83928571428572,720.3472576530617,3
202,180.0,262.0,4000.0,0.0,1.0,3.0,18,1,0,38.83928571428572,434.275829081633,3
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22,2,0,43.45762711864407,460.4297615627694,4
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259,2,0,43.45762711864407,46458.51450732548,4
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70,2,0,43.45762711864407,704.4975581729387,4
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26,2,0,43.45762711864407,304.76874461361683,4
72,175.0,256.0,2000.0,0.0,3.0,24.0,22,2,0,43.45762711864407,460.4297615627694,4
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71,2,0,43.45762711864407,758.5823039356505,4
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26,2,0,43.45762711864407,304.76874461361683,4
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510,29,15,307.22222222222223,41118.82716049383,4
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45,2,0,43.45762711864407,2.3789141051421963,4
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41,2,0,43.45762711864407,6.03993105429475,4
203,180.0,512.0,4000.0,0.0,1.0,3.0,21,2,0,43.45762711864407,504.3450158000575,4
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40,2,0,43.45762711864407,11.955185291582888,4
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30,2,0,43.45762711864407,181.10772766446428,4
24,320.0,128.0,6000.0,0.0,1.0,12.0,23,2,0,43.45762711864407,418.51450732548125,4
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150,29,15,307.22222222222223,710274.3827160494,4
74,300.0,768.0,3000.0,6.0,6.0,24.0,44,2,0,43.45762711864407,0.2941683424303345,4
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140,29,15,307.22222222222223,27963.271604938273,4
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134,2,0,43.45762711864407,8197.921286986499,4
174,250.0,512.0,4000.0,0.0,4.0,7.0,50,2,0,43.45762711864407,42.8026429187015,4
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17,2,0,43.45762711864407,700.00603274921,4
28,320.0,512.0,5000.0,4.0,1.0,5.0,77,2,0,43.45762711864407,1125.0907785119218,4
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50,2,0,43.45762711864407,42.8026429187015,4
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34,2,0,43.45762711864407,89.44671071531172,4
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214,29,15,307.22222222222223,8690.382716049384,4
101,115.0,512.0,6000.0,16.0,1.0,6.0,45,2,0,43.45762711864407,2.3789141051421963,4
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33,29,15,307.22222222222223,75197.82716049383,4
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144,29,15,307.22222222222223,700197.0493827162,4
66,90.0,256.0,1000.0,0.0,3.0,10.0,17,2,0,43.45762711864407,700.00603274921,4
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11,2,0,43.45762711864407,1053.4975581729389,4
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133,29,15,307.22222222222223,30353.382716049386,4
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35,2,0,43.45762711864407,71.53145647802359,4
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66,2,0,43.45762711864407,508.1585751220913,4
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114,2,0,43.45762711864407,4976.22637173226,4
