,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
211,7,4,7,6,93.5,139.4,594.2,20.3,5.1,96.0,5.8,0.0
212,7,4,7,5,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0
213,7,3,7,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0
214,4,4,4,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0
215,4,4,4,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0
216,4,4,4,7,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0
217,1,3,1,1,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0
218,4,5,4,3,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0
220,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0
222,4,3,4,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0
223,2,2,2,5,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0
224,7,4,7,3,90.1,82.9,735.7,6.2,15.4,57.0,4.5,0.0
225,4,4,4,7,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0
229,8,6,8,6,92.2,81.8,480.8,11.9,16.4,43.0,4.0,0.0
230,4,4,4,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0
231,1,5,1,7,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0
232,6,4,6,2,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0
234,4,5,4,6,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0
237,1,2,1,2,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0
239,7,5,7,7,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0
241,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0
242,2,4,2,7,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0
243,7,4,7,7,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0
244,2,4,2,7,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0
245,3,4,3,7,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0
246,5,4,5,7,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0
248,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0
249,3,4,3,3,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0
252,6,5,6,3,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0
253,7,4,7,4,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0
254,6,3,6,4,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0
255,2,5,2,4,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0
256,8,6,8,6,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0
258,3,4,3,6,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0
259,7,4,7,6,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0
260,2,4,2,1,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0
261,3,4,3,5,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0.0
262,2,4,2,5,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0
263,6,3,6,5,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0
265,4,4,4,2,93.7,102.2,550.3,14.6,22.1,54.0,7.6,0.0
266,6,5,6,2,94.3,131.7,607.1,22.7,19.4,55.0,4.0,0.0
267,2,2,2,2,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0
268,3,4,3,2,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0
269,4,4,4,2,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0
270,2,2,2,2,92.1,152.6,658.2,14.3,21.8,56.0,3.1,0.0
272,2,5,2,2,92.1,152.6,658.2,14.3,20.2,47.0,4.0,0.0
273,4,6,4,7,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0
274,8,6,8,3,84.0,27.8,354.6,5.3,5.1,61.0,8.0,0.0
275,4,6,4,4,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0
276,4,4,4,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0
277,3,4,3,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0
278,4,4,4,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0
279,4,4,4,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0
282,6,3,6,7,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0
283,3,4,3,3,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0.0
284,5,4,5,5,85.2,4.9,15.8,6.3,7.5,46.0,8.0,0.0
285,2,5,2,7,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0
286,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90.0,7.6,0.2
287,7,4,7,6,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0
289,7,4,7,6,91.6,104.2,474.9,9.0,24.3,30.0,1.8,0.0
290,2,5,2,6,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0
291,9,4,9,6,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0
292,4,5,4,5,91.6,100.2,466.3,6.3,22.9,40.0,1.3,0.0
293,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0
294,8,6,8,2,92.3,88.8,440.9,8.5,17.1,67.0,3.6,0.0
295,7,5,7,7,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0
296,6,4,6,7,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0.0
297,8,6,8,7,90.4,89.5,290.8,6.4,15.4,45.0,2.2,0.0
298,8,6,8,3,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0
299,6,5,6,6,53.4,71.0,233.8,0.4,10.6,90.0,2.7,0.0
300,6,5,6,1,90.4,93.3,298.1,7.5,20.7,25.0,4.9,0.0
301,6,5,6,1,90.4,93.3,298.1,7.5,19.1,39.0,5.4,0.0
302,3,6,3,5,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0
303,3,6,3,5,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0
304,6,5,6,6,85.1,28.0,113.8,3.5,11.3,94.0,4.9,0.0
305,1,4,1,7,89.6,84.1,714.3,5.7,19.0,52.0,2.2,0.0
306,7,4,7,7,89.6,84.1,714.3,5.7,17.1,53.0,5.4,0.0
307,3,4,3,7,89.6,84.1,714.3,5.7,23.8,35.0,3.6,0.0
308,2,4,2,7,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0.0
309,2,4,2,7,92.4,105.8,758.1,9.9,24.9,27.0,2.2,0.0
311,6,3,6,7,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0.0
312,2,4,2,7,50.4,46.2,706.6,0.4,12.2,78.0,6.3,0.0
313,6,5,6,3,92.6,115.4,777.1,8.8,24.3,27.0,4.9,0.0
314,4,4,4,3,92.6,115.4,777.1,8.8,19.7,41.0,1.8,0.0
315,3,4,3,3,91.2,134.7,817.5,7.2,18.5,30.0,2.7,0.0
316,4,5,4,4,92.4,96.2,739.4,8.6,18.6,24.0,5.8,0.0
317,4,4,4,4,92.4,96.2,739.4,8.6,19.2,24.0,4.9,0.0
318,6,5,6,4,92.8,119.0,783.5,7.5,21.6,27.0,2.2,0.0
319,5,4,5,4,92.8,119.0,783.5,7.5,21.6,28.0,6.3,0.0
321,1,4,1,4,92.8,119.0,783.5,7.5,16.8,28.0,4.0,0.0
322,6,5,6,4,92.8,119.0,783.5,7.5,16.8,28.0,4.0,0.0
323,3,5,3,4,90.7,136.9,822.8,6.8,12.9,39.0,2.7,0.0
324,6,5,6,4,88.1,53.3,726.9,5.4,13.7,56.0,1.8,0.0
325,1,4,1,6,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0
326,5,4,5,6,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0
327,6,5,6,6,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0
328,6,5,6,6,92.2,102.3,751.5,8.4,19.7,35.0,1.8,0.0
329,4,3,4,6,92.2,102.3,751.5,8.4,23.5,27.0,4.0,0.0
330,3,3,3,6,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0
331,7,4,7,6,91.2,124.4,795.3,8.5,21.5,28.0,4.5,0.0
334,2,3,2,1,91.6,108.4,764.0,6.2,18.0,51.0,5.4,0.0
337,6,3,6,1,91.6,108.4,764.0,6.2,23.0,34.0,2.2,0.0
338,8,6,8,1,91.6,108.4,764.0,6.2,22.7,35.0,2.2,0.0
339,2,4,2,1,91.6,108.4,764.0,6.2,20.4,41.0,1.8,0.0
340,2,5,2,1,91.6,108.4,764.0,6.2,19.3,44.0,2.2,0.0
342,6,3,6,1,91.5,130.1,807.1,7.5,20.6,37.0,1.8,0.0
343,8,6,8,1,91.5,130.1,807.1,7.5,15.9,51.0,4.5,0.0
344,6,3,6,1,91.5,130.1,807.1,7.5,12.2,66.0,4.9,0.0
345,2,2,2,1,91.5,130.1,807.1,7.5,16.8,43.0,3.1,0.0
347,5,4,5,5,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0
348,3,4,3,5,92.1,99.0,745.3,9.6,17.4,57.0,4.5,0.0
349,5,4,5,5,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0
351,4,4,4,5,92.1,99.0,745.3,9.6,15.4,53.0,6.3,0.0
352,7,4,7,5,92.1,99.0,745.3,9.6,20.6,43.0,3.6,0.0
354,7,4,7,5,92.1,99.0,745.3,9.6,18.7,50.0,2.2,0.0
355,4,4,4,5,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0
356,4,4,4,5,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0
357,6,3,6,5,92.5,122.0,789.7,10.2,15.9,55.0,3.6,0.0
358,6,3,6,5,92.5,122.0,789.7,10.2,19.7,39.0,2.7,0.0
362,7,4,7,5,88.2,55.2,732.3,11.6,15.2,64.0,3.1,0.0
363,4,3,4,2,91.9,111.7,770.3,6.5,15.9,53.0,2.2,0.0
364,6,5,6,2,91.9,111.7,770.3,6.5,21.1,35.0,2.7,0.0
365,6,5,6,2,91.9,111.7,770.3,6.5,19.6,45.0,3.1,0.0
366,4,5,4,2,91.1,132.3,812.1,12.5,15.9,38.0,5.4,0.0
367,4,5,4,2,91.1,132.3,812.1,12.5,16.4,27.0,3.6,0.0
368,6,5,6,6,91.2,94.3,744.4,8.4,16.8,47.0,4.9,0.0
370,7,4,7,7,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0
371,3,4,3,3,91.9,133.6,520.5,8.0,14.2,58.0,4.0,0.0
373,5,4,5,4,94.8,222.4,698.6,13.9,20.3,42.0,2.7,0.0
374,6,5,6,5,90.3,290.0,855.3,7.4,10.3,78.0,4.0,0.0
375,6,5,6,6,91.2,94.3,744.4,8.4,15.4,57.0,4.9,0.0
377,2,2,2,6,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0
378,6,5,6,4,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0.0
379,4,5,4,7,18.7,1.1,171.4,0.0,5.2,100.0,0.9,0.0
380,5,4,5,3,93.7,101.3,458.8,11.9,19.3,39.0,7.2,0.0
382,8,6,8,3,95.2,217.7,690.0,18.0,28.2,29.0,1.8,0.0
383,9,6,9,4,91.6,248.4,753.8,6.3,20.5,58.0,2.7,0.0
384,8,4,8,6,91.6,273.8,819.1,7.7,21.3,44.0,4.5,0.0
385,2,4,2,7,91.6,181.3,613.0,7.6,20.9,50.0,2.2,0.0
386,3,4,3,7,90.5,96.7,750.5,11.4,20.6,55.0,5.4,0.0
388,6,4,6,5,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0
389,7,4,7,5,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0
392,1,3,1,7,91.0,276.3,825.1,7.1,21.9,43.0,4.0,0.0
393,2,4,2,2,93.4,15.0,25.6,11.4,15.2,19.0,7.6,0.0
394,6,5,6,1,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0
395,4,5,4,7,85.0,9.0,56.9,3.5,10.1,62.0,1.8,0.0
397,5,6,5,7,91.6,181.3,613.0,7.6,24.3,33.0,3.6,0.0
398,1,2,1,6,93.7,231.1,715.1,8.4,25.9,32.0,3.1,0.0
399,9,5,9,3,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0
400,9,5,9,3,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0
401,3,4,3,4,91.1,88.2,731.7,8.3,22.8,46.0,4.0,0.0
402,9,9,9,5,94.8,227.0,706.7,12.0,25.0,36.0,4.0,0.0
403,8,6,8,4,90.7,194.1,643.0,6.8,21.3,41.0,3.6,0.0
404,2,4,2,3,87.9,84.8,725.1,3.7,21.8,34.0,2.2,0.0
406,6,5,6,6,87.1,291.3,860.6,4.0,17.0,67.0,4.9,0.0
407,4,5,4,6,84.7,8.2,55.0,2.9,14.2,46.0,4.0,0.0
408,4,3,4,5,90.3,290.0,855.3,7.4,19.9,44.0,3.1,0.0
409,1,4,1,2,92.3,96.2,450.2,12.1,23.4,31.0,5.4,0.0
410,6,3,6,5,84.1,7.3,52.8,2.7,14.7,42.0,2.7,0.0
411,7,4,7,5,84.6,3.2,43.6,3.3,8.2,53.0,9.4,0.0
412,9,4,9,1,92.3,92.1,442.1,9.8,22.8,27.0,4.5,0.0
