,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
4110,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
3204,F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
1024,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
2385,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
3330,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
2652,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
1679,F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
1553,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
828,I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
3165,F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9
3942,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
3807,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8
3779,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
1640,F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
1697,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
1590,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
1502,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
751,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
3831,F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
2435,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
2065,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
1720,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
2933,F,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,10
929,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
2575,M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
2571,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
3914,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
519,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6
2330,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
2225,M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
293,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
1112,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
4065,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6
3965,I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6
473,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
2097,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
2595,F,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11
4061,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10
3378,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
1085,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
3785,M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
1769,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
1226,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6
1169,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
1365,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
4079,M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,8
1267,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
3613,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
3906,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
2833,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
190,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
1915,F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
2904,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
2462,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
1566,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
1854,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
3578,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
623,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
546,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8
3021,I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
2604,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
244,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
1526,M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
2273,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
3850,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
1165,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
1462,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
2935,M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
1725,M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
2196,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
1906,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
1523,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
3084,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
3414,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
2218,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
1160,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9
1757,F,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
2400,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
3455,M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
2585,F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
2422,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
2588,F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
3659,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
1783,M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
3672,F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10
4024,I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
2495,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
3057,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
2191,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15
4067,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6
3178,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
2380,M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
1219,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
387,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
83,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
3750,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
3308,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
2888,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
2087,M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11
1505,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
4020,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
3498,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
3700,F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10
3729,M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
1654,I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
2251,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13
4157,M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
2917,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
1269,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
3055,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
631,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
2177,F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14
3282,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
3617,M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
3468,F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
1866,I,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,10
913,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
2375,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
568,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7
1612,I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
2490,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
948,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
2399,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
3481,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
2392,M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
810,M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
3253,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
2030,M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
926,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
1772,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
517,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
1648,M,0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
4139,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
2919,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
1863,I,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
2195,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
2559,I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
3358,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
1540,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
3234,F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
1008,M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
2446,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14
2305,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
2764,I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9
2416,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
2019,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
2241,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
923,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
3589,M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
1945,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
4053,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10
3555,M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8
886,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
1370,M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
1674,M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
2711,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
3680,F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9
915,I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
644,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
54,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
2230,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
592,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
4171,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
524,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
2579,M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
3804,I,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7
1189,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
1542,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
182,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
3662,I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
3438,I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
3774,I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
1074,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
1597,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
1782,M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
1122,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
192,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
2284,I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9
1291,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
396,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
3537,I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6
1056,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
2439,F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
2186,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
2516,I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
2158,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
3150,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
2980,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7
872,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
323,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
2637,I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
2467,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
3436,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
3317,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
2009,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
1353,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
2731,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
3637,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
2693,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
2204,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
1419,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
2867,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6
3474,I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
409,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
2092,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
3089,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
3102,M,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8
1593,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
1693,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
486,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11
2713,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
1657,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
147,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
1860,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
531,F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
1746,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
1742,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
2723,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
622,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
3558,I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
710,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
229,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
237,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
1845,I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
2808,F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9
1568,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
2639,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
3874,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
2612,F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
3815,I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
2558,I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
1662,F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
3726,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
3873,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
1464,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
34,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
2859,F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
731,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
2638,I,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,7
3058,I,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11
2972,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
1895,M,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
1339,F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
2012,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
3279,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
3556,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
3630,I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
2268,F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13
1437,I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
470,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
3608,M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
2078,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
3326,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12
1164,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
350,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
1089,I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
2869,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
2419,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
269,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
1078,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
4162,M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
2750,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8
1242,I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9
965,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
3975,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
2086,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
1014,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
3341,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
1367,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
1957,F,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16
15,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
1258,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
1019,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
382,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
2022,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
1144,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
2762,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9
1810,M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9
1713,M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10
748,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
2836,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
1658,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
662,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
3181,M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11
494,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
2503,I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
1515,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
3859,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
3719,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
3327,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
2943,F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
559,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13
1533,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
3463,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
3038,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
605,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
1743,M,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
3085,I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
1493,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
3128,F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
1641,M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
64,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
340,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
3862,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
3955,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
2797,M,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,11
1268,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
3581,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
