,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
327,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,154,84,16.0,16.0,1
328,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,230,145,9.5,2.25,1
329,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8,202,123,8.4,0.16000000000000028,1
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8,215,133,11.7,13.689999999999994,1
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,198,120,8.5,12.25,1
334,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16,159,88,11.17123287671233,23.31699193094389,1
336,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,175,100,11.5,6.25,1
344,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,27,11,16.0,64.0,1
347,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,124,65,8.0,4.0,1
349,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,98,46,8.0,36.0,1
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,27,11,16.0,36.0,1
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,111,56,16.0,16.0,1
354,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16,187,107,10.0,36.0,1
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,183,106,12.4,31.359999999999996,1
363,F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,182,105,13.0,9.0,1
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,183,106,12.4,0.16000000000000028,1
373,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,186,107,17.0,9.0,1
375,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,161,89,10.22222222222222,95.604938271605,1
378,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,174,100,12.666666666666666,5.444444444444447,1
384,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,150,82,8.0,4.0,1
390,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,199,121,9.142857142857142,0.7346938775510212,1
391,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,243,156,9.833333333333334,0.027777777777777582,1
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6,124,65,8.0,4.0,1
395,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11,199,121,9.142857142857142,3.4489795918367365,1
396,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,27,11,16.0,36.0,1
400,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,76,35,8.0,1.0,1
401,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,154,84,16.0,49.0,1
404,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,206,126,9.6,6.759999999999998,1
405,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12,27,11,16.0,16.0,1
408,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,113,57,10.0,1.0,1
409,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8,227,143,9.5,2.25,1
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15,175,100,11.5,12.25,1
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,27,11,16.0,25.0,1
413,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12,113,57,10.0,4.0,1
415,F,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15,179,104,11.666666666666666,11.111111111111114,1
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11,68,31,14.0,9.0,1
423,I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8,198,120,8.5,0.25,1
424,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6,119,62,8.0,4.0,1
428,F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21,27,11,16.0,25.0,1
432,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18,113,57,10.0,64.0,1
437,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,199,121,9.142857142857142,23.59183673469388,1
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,230,145,9.5,0.25,1
439,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,190,112,12.6,0.16000000000000028,1
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10,204,125,10.176470588235292,0.03114186851210988,1
441,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,198,120,8.5,0.25,1
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,203,123,9.0,1.0,1
447,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,110,56,14.0,4.0,1
448,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,174,100,12.666666666666666,0.44444444444444364,1
449,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,27,11,16.0,4.0,1
451,F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16,158,87,11.0,25.0,1
453,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,182,105,13.0,4.0,1
459,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,224,141,9.333333333333334,2.777777777777776,1
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,196,118,6.0,1.0,1
464,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6,119,62,8.0,4.0,1
465,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5,197,118,7.050632911392405,4.205095337285693,1
466,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12,161,89,10.22222222222222,3.160493827160503,1
468,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,161,89,10.22222222222222,45.93827160493831,1
471,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10,76,35,8.0,4.0,1
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,206,126,9.6,0.3599999999999996,1
473,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11,76,35,8.0,9.0,1
478,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21,165,91,13.0,64.0,1
479,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,55,24,13.88888888888889,4.456790123456789,1
481,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,111,56,16.0,1.0,1
482,M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15,101,51,10.0,25.0,1
483,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,27,11,16.0,9.0,1
484,M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12,101,51,10.0,4.0,1
485,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13,181,105,14.0,1.0,1
486,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11,110,56,14.0,9.0,1
487,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15,186,107,17.0,4.0,1
488,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11,240,152,10.0,1.0,1
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,111,56,16.0,4.0,1
491,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,111,56,16.0,9.0,1
492,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11,49,22,9.0,4.0,1
493,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,55,24,13.88888888888889,1.234567901234567,1
495,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15,179,104,11.666666666666666,11.111111111111114,1
497,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19,180,104,11.1,62.410000000000004,1
500,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12,27,11,16.0,16.0,1
502,F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15,180,104,11.1,15.210000000000003,1
503,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,55,24,13.88888888888889,0.7901234567901242,1
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15,175,100,11.5,12.25,1
507,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,111,56,16.0,1.0,1
510,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10,177,103,10.0,0.0,1
513,M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6,233,148,8.0,4.0,1
514,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5,211,131,9.74468085106383,22.511996378451787,1
519,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6,212,131,9.333333333333334,11.111111111111114,1
520,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,231,147,8.580882352941176,31.146247837370233,1
526,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3,231,147,8.580882352941176,31.146247837370233,1
527,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14,225,142,9.25,22.5625,1
528,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,27,11,16.0,16.0,1
529,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,230,145,9.5,0.25,1
536,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11,68,31,14.0,9.0,1
537,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,232,147,8.6,2.5599999999999987,1
542,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,230,145,9.5,30.25,1
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10,214,132,15.0,25.0,1
545,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11,233,148,8.0,9.0,1
546,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,232,147,8.6,0.3599999999999996,1
548,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12,225,142,9.25,7.5625,1
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12,59,26,14.0,4.0,1
555,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10,68,31,14.0,16.0,1
558,F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,55,24,13.88888888888889,0.7901234567901242,1
559,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13,208,127,10.2,7.840000000000004,1
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8,213,132,9.6,2.5599999999999987,1
562,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11,71,32,8.0,9.0,1
572,F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20,27,11,16.0,16.0,1
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,176,102,10.714285714285714,0.510204081632652,1
575,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11,55,24,13.88888888888889,8.34567901234568,1
578,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11,59,26,14.0,9.0,1
580,F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11,47,21,7.0,16.0,1
581,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14,58,26,8.0,36.0,1
588,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,242,155,12.076923076923077,3.698224852071007,1
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,214,132,15.0,36.0,1
595,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13,59,26,14.0,1.0,1
597,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13,176,102,10.714285714285714,5.2244897959183705,1
600,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,58,26,8.0,81.0,1
601,F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10,214,132,15.0,25.0,1
603,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11,209,128,9.0,4.0,1
606,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,81,37,10.0,1.0,1
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,216,133,13.333333333333334,1.7777777777777795,1
613,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18,207,127,10.1,62.410000000000004,1
614,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,209,128,9.0,36.0,1
617,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,81,37,10.0,9.0,1
622,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,224,141,9.333333333333334,7.111111111111108,1
624,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15,68,31,14.0,1.0,1
630,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9,68,31,14.0,25.0,1
631,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7,216,133,13.333333333333334,40.11111111111112,1
637,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,81,37,10.0,16.0,1
638,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,206,126,9.6,19.360000000000003,1
643,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,81,37,10.0,9.0,1
646,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,234,148,8.0,4.0,1
650,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,232,147,8.6,12.959999999999997,1
653,M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7,233,148,8.0,1.0,1
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,212,131,9.333333333333334,0.44444444444444364,1
