,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
186,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,2.1029138978649784,4,0,0.9035855347292752,1.4383885226217652,1
187,1,5,9,1,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0,2.1162555148025524,3,0,1.2779718711421215,0.7027194672286082,1
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,2.2235418856535927,4,0,0.9035855347292752,1.74228476834544,1
192,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,2.2731562823032334,2,0,1.0774437421014995,1.4297284787956832,1
193,4,5,9,3,92.9,133.3,699.6,9.2,24.3,25.0,4.0,0.0,2.342766882626877,3,0,1.2779718711421215,1.1337884164828207,1
196,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,2.4790562361098245,96,37,1.724550719534605,0.5692785745424388,1
198,3,4,9,2,91.0,129.5,692.6,7.0,13.9,59.0,6.3,0.0,2.50470927708418,3,0,1.2779718711421215,1.504884663137451,1
203,8,6,10,3,91.4,37.9,673.8,5.2,20.2,37.0,2.7,0.0,2.6878474937846906,8,0,0.9636540499789704,2.9728430316626295,1
204,5,6,3,6,90.6,50.1,100.4,7.8,15.1,64.0,4.0,0.0,2.7073833121145063,4,0,0.9035855347292752,3.2536864216999,1
205,4,5,9,4,92.9,137.0,706.4,9.2,22.1,34.0,1.8,0.0,2.745345985845907,3,0,1.2779718711421215,2.1531867925027184,1
208,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,3.007166651179654,3,0,1.2779718711421215,2.9901145873090504,1
209,8,3,9,4,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0,3.1949928844048685,3,0,1.2779718711421215,3.674969565290929,1
210,4,4,10,6,90.6,43.7,686.9,6.7,18.4,25.0,3.1,0.0,3.2280337626529665,8,0,0.9636540499789704,5.127415483169569,1
212,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,3.3006401266708405,3,0,1.2779718711421215,4.0911868719235915,1
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,3.389799336709786,4,0,0.9035855347292752,6.1812590691583855,1
223,2,2,7,5,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0,3.6381123370602833,12,1,1.2919836816486494,5.5043196677436,1
225,4,4,9,7,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,3.902982260775997,3,0,1.2779718711421215,6.89067954568579,1
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,4.566221435849517,3,0,1.2779718711421215,10.812585199798376,1
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,4.648133885420207,3,0,1.2779718711421215,11.357992002482922,1
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0,4.669646205172456,3,0,1.2779718711421215,11.503454788120113,1
235,8,6,8,7,91.4,142.4,601.4,10.6,19.6,41.0,5.8,0.0,5.285637313390662,2,0,1.0774437421014995,17.708893133439442,1
240,6,3,4,3,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0,36,5,4.129228964075603,17.050531837760875,1
241,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0,96,37,1.724550719534605,2.974075184247324,1
242,2,4,8,7,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0,2.4096441652874536,2,0,1.0774437421014995,1.7747579675368352,1
243,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
246,5,4,8,7,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0,0.0861776962410523,2,0,1.0774437421014995,0.9826083736758062,1
247,2,4,8,3,92.2,91.6,503.6,9.6,20.7,70.0,2.2,0.0,0.5596157879354227,2,0,1.0774437421014995,0.26814579011582457,1
249,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,1.244154593958768,2,0,1.0774437421014995,0.027792508126976097,1
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,0.5187937934151675,2,0,1.0774437421014995,0.31208976516724135,1
254,6,3,8,4,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0,2.428336298299606,2,0,1.0774437421014995,1.8249106983914547,1
255,2,5,8,4,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
258,3,4,8,6,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
260,2,4,8,1,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0,2.2874714551839976,2,0,1.0774437421014995,1.4641670664276605,1
262,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.6582280766035324,2,0,1.0774437421014995,0.33731044320296927,1
264,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,2.020222182019865,2,0,1.0774437421014995,0.8888311867749069,1
266,6,5,8,2,94.3,131.7,607.1,22.7,19.4,55.0,4.0,0.0,0.1570037488096647,2,0,1.0774437421014995,0.8472097812510728,1
267,2,2,8,2,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
268,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
269,4,4,8,2,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,1.6863989535702288,2,0,1.0774437421014995,0.37082644957492483,1
270,2,2,8,2,92.1,152.6,658.2,14.3,21.8,56.0,3.1,0.0,0.418710334858185,2,0,1.0774437421014995,0.43392970181838647,1
274,8,6,12,3,84.0,27.8,354.6,5.3,5.1,61.0,8.0,0.0,2.5006159434931803,10,0,2.7090108451788426,0.043428435048576866,1
275,4,6,12,4,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0,1.8531680973566984,10,0,2.7090108451788426,0.7324668089997584,1
279,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,2.376764491168297,10,0,2.7090108451788426,0.11038763975330093,1
280,4,6,12,5,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,2.329227023940467,10,0,2.7090108451788426,0.14423575087442253,1
282,6,3,2,7,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0,366,353,2.320698017196068,5.385639287017761,1
286,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90.0,7.6,0.2,0.0,12,1,1.2919836816486494,1.6692218336463986,1
287,7,4,7,6,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0,55,14,2.19722457733622,4.827795843250331,1
293,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,4.471067201464611,13,1,0.0,19.990441920012586,1
295,7,5,6,7,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0,7,0,0.7112421344163563,0.5058653737691342,1
296,6,4,6,7,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0.0,0.6418538861723948,7,0,0.7112421344163563,0.004814728994365627,1
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0,0.0,7,0,0.7112421344163563,0.5058653737691342,1
299,6,5,6,6,53.4,71.0,233.8,0.4,10.6,90.0,2.7,0.0,0.0,7,0,0.7112421344163563,0.5058653737691342,1
304,6,5,5,6,85.1,28.0,113.8,3.5,11.3,94.0,4.9,0.0,0.0,97,37,0.0,0.0,1
306,7,4,9,7,89.6,84.1,714.3,5.7,17.1,53.0,5.4,0.0,0.3435897043900769,3,0,1.2779718711421215,0.8730700335442458,1
308,2,4,9,7,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
310,7,4,9,7,92.4,105.8,758.1,9.9,25.3,27.0,2.7,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
314,4,4,9,3,92.6,115.4,777.1,8.8,19.7,41.0,1.8,0.0,0.947789398933526,3,0,1.2779718711421215,0.10902046495377997,1
318,6,5,9,4,92.8,119.0,783.5,7.5,21.6,27.0,2.2,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
329,4,3,9,6,92.2,102.3,751.5,8.4,23.5,27.0,4.0,0.0,1.4655675420143983,3,0,1.2779718711421215,0.0351921357300196,1
330,3,3,9,6,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0,2.0255131996542803,3,0,1.2779718711421215,0.5588180378337233,1
331,7,4,9,6,91.2,124.4,795.3,8.5,21.5,28.0,4.5,0.0,2.8118094353930627,3,0,1.2779718711421215,2.35265767350726,1
334,2,3,9,1,91.6,108.4,764.0,6.2,18.0,51.0,5.4,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
335,4,3,9,1,91.6,108.4,764.0,6.2,9.8,86.0,1.8,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
337,6,3,9,1,91.6,108.4,764.0,6.2,23.0,34.0,2.2,0.0,4.04375277610604,3,0,1.2779718711421215,7.649544014263034,1
346,1,4,9,1,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,3.373826184866024,3,0,1.2779718711421215,4.39260530435509,1
348,3,4,9,5,92.1,99.0,745.3,9.6,17.4,57.0,4.5,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
349,5,4,9,5,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0,0.9707789171582248,3,0,1.2779718711421215,0.09436751097735246,1
350,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,1.5496879080283263,3,0,1.2779718711421215,0.07382960470114543,1
351,4,4,9,5,92.1,99.0,745.3,9.6,15.4,53.0,6.3,0.0,2.1174596088673567,3,0,1.2779718711421215,0.7047396617910333,1
352,7,4,9,5,92.1,99.0,745.3,9.6,20.6,43.0,3.6,0.0,1.1085626195212777,3,0,1.2779718711421215,0.028699494534734388,1
356,4,4,9,5,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,0.8153648132841945,3,0,1.2779718711421215,0.21400528997996743,1
358,6,3,9,5,92.5,122.0,789.7,10.2,19.7,39.0,2.7,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
366,4,5,9,2,91.1,132.3,812.1,12.5,15.9,38.0,5.4,0.0,1.01160091167848,3,0,1.2779718711421215,0.0709534880455809,1
367,4,5,9,2,91.1,132.3,812.1,12.5,16.4,27.0,3.6,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
371,3,4,7,3,91.9,133.6,520.5,8.0,14.2,58.0,4.0,0.0,0.0,12,1,1.2919836816486494,1.6692218336463986,1
373,5,4,8,4,94.8,222.4,698.6,13.9,20.3,42.0,2.7,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
374,6,5,9,5,90.3,290.0,855.3,7.4,10.3,78.0,4.0,0.0,2.96010509591084,3,0,1.2779718711421215,2.8295721858708083,1
377,2,2,8,6,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0,5.168379509433644,2,0,1.0774437421014995,16.73575545243744,1
380,5,4,7,3,93.7,101.3,458.8,11.9,19.3,39.0,7.2,0.0,2.166765369851511,12,1,1.2919836816486494,0.7652430020150486,1
383,9,6,8,4,91.6,248.4,753.8,6.3,20.5,58.0,2.7,0.0,3.7812307151781215,2,0,1.0774437421014995,7.310463995778842,1
384,8,4,8,6,91.6,273.8,819.1,7.7,21.3,44.0,4.5,0.0,2.578700529074361,2,0,1.0774437421014995,2.25377194043208,1
388,6,4,8,5,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,3.392492941032009,2,0,1.0774437421014995,5.359452793468794,1
389,7,4,8,5,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
391,8,6,9,5,91.1,91.3,738.1,7.2,20.7,46.0,2.7,0.0,3.43977686362963,3,0,1.2779718711421215,4.673400825543918,1
392,1,3,9,7,91.0,276.3,825.1,7.1,21.9,43.0,4.0,0.0,4.27332721775054,3,0,1.2779718711421215,8.97215365245564,1
394,6,5,2,1,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0,0.0,43,6,0.0,0.0,1
395,4,5,2,7,85.0,9.0,56.9,3.5,10.1,62.0,1.8,0.0,3.966132331075178,366,353,2.320698017196068,2.707454081290818,1
398,1,2,8,6,93.7,231.1,715.1,8.4,25.9,32.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
399,9,5,6,3,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,0.0,7,0,0.7112421344163563,0.5058653737691342,1
400,9,5,6,3,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,2.214846178686039,7,0,0.7112421344163563,2.260825121944146,1
402,9,9,8,5,94.8,227.0,706.7,12.0,25.0,36.0,4.0,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
404,2,4,9,3,87.9,84.8,725.1,3.7,21.8,34.0,2.2,0.0,1.951608170169951,3,0,1.2779718711421215,0.4537858633679113,1
405,2,2,8,2,94.6,212.1,680.9,9.5,27.9,27.0,2.2,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
409,1,4,7,2,92.3,96.2,450.2,12.1,23.4,31.0,5.4,0.0,0.0,13,1,0.0,0.0,1
410,6,3,2,5,84.1,7.3,52.8,2.7,14.7,42.0,2.7,0.0,0.0,100,38,3.228430037673012,10.422760508149366,1
412,9,4,7,1,92.3,92.1,442.1,9.8,22.8,27.0,4.5,0.0,0.9669838461896731,13,1,0.0,0.9350577587917734,1
413,7,5,8,6,93.7,231.1,715.1,8.4,26.4,33.0,3.6,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
415,8,6,8,4,94.8,222.4,698.6,13.9,27.5,27.0,4.9,0.0,6.616439947564594,2,0,1.0774437421014995,30.68047896413456,1
416,6,3,7,2,92.7,164.1,575.8,8.9,26.3,39.0,3.1,0.0,2.081938421878423,13,1,0.0,4.334467592493618,1
417,6,5,3,3,93.4,17.3,28.3,9.9,13.8,24.0,5.8,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
419,2,5,8,7,91.6,181.3,613.0,7.6,24.8,36.0,4.0,0.0,1.3987168811184478,2,0,1.0774437421014995,0.1032164298538034,1
425,2,2,8,4,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
427,2,4,8,1,92.1,207.0,672.6,8.2,27.9,33.0,2.2,0.0,1.208960345836975,2,0,1.0774437421014995,0.017296617058114108,1
431,1,3,8,6,92.1,178.0,605.3,9.6,23.3,40.0,4.0,0.0,1.9960599327407849,2,0,1.0774437421014995,0.8438557057046319,1
439,1,3,9,5,91.1,91.3,738.1,7.2,19.1,46.0,2.2,0.0,0.2851789422336624,3,0,1.2779718711421215,0.9856377996906368,1
440,5,4,9,5,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
443,1,2,7,5,90.7,80.9,368.3,16.8,14.8,78.0,8.0,0.0,0.0,12,1,1.2919836816486494,1.6692218336463986,1
445,5,5,8,7,94.0,47.9,100.7,10.7,17.3,80.0,4.5,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
446,6,5,8,7,92.0,203.2,664.5,8.1,19.1,70.0,2.2,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
447,3,4,3,3,93.4,17.3,28.3,9.9,8.9,35.0,8.0,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
448,7,4,9,3,89.7,284.9,844.0,10.1,10.5,77.0,4.0,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
450,4,5,8,3,95.2,217.7,690.0,18.0,23.4,49.0,5.4,0.0,2.005525858729668,2,0,1.0774437421014995,0.861336415205021,1
452,7,4,8,1,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
453,4,5,8,4,89.4,266.2,803.3,5.6,17.4,54.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
456,2,4,8,4,91.6,248.4,753.8,6.3,16.6,59.0,2.7,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
460,2,5,8,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
462,1,4,9,7,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0.0,1.5496879080283263,3,0,1.2779718711421215,0.07382960470114543,1
463,6,5,2,2,75.1,4.4,16.2,1.9,4.6,82.0,6.3,0.0,1.8547342683894437,42,6,0.7419373447293773,1.2383169933073075,1
464,6,4,2,2,75.1,4.4,16.2,1.9,5.1,77.0,5.4,0.0,1.144222799920162,42,6,0.7419373447293773,0.1618335874580568,1
465,2,2,2,6,79.5,3.6,15.3,1.8,4.6,59.0,0.9,0.0,2.0592388343623163,39,6,0.0,4.240464576945871,1
475,2,5,6,4,93.7,121.7,350.2,18.0,22.7,40.0,9.4,0.0,1.4327007339340465,7,0,0.7112421344163563,0.5205025108180269,1
476,4,3,7,4,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0,1.0152306797290584,12,1,1.2919836816486494,0.07659222407150512,1
480,9,9,7,4,93.2,114.4,560.0,9.5,30.2,25.0,4.5,0.0,1.3217558399823195,12,1,1.2919836816486494,0.000886381411845121,1
481,4,3,7,4,93.2,114.4,560.0,9.5,30.2,22.0,4.9,0.0,0.0,12,1,1.2919836816486494,1.6692218336463986,1
482,3,4,8,7,94.9,130.3,587.1,14.1,23.4,40.0,5.8,0.0,0.8285518175661483,2,0,1.0774437421014995,0.06194719009891098,1
483,8,6,8,7,94.9,130.3,587.1,14.1,31.0,27.0,5.4,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
484,2,5,8,7,94.9,130.3,587.1,14.1,33.1,25.0,4.0,0.0,3.311637304949512,2,0,1.0774437421014995,4.991620876271496,1
485,2,4,8,1,95.0,135.5,596.3,21.3,30.6,28.0,3.6,0.0,1.1216775615991057,2,0,1.0774437421014995,0.0019566307873468054,1
