,buying,maint,doors,persons,lug_boot,safety,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
303,3,1,3,0,2,0,unacc,2,0,unacc,True,1
316,3,1,3,2,0,1,unacc,126,64,acc,False,1
318,3,1,3,2,1,0,unacc,2,0,unacc,True,1
321,3,1,3,2,2,0,unacc,2,0,unacc,True,1
328,3,0,0,0,1,1,unacc,129,69,acc,False,1
332,3,0,0,0,2,2,unacc,104,55,vgood,False,1
334,3,0,0,1,0,1,unacc,115,59,good,False,1
336,3,0,0,1,1,0,unacc,2,0,unacc,True,1
339,3,0,0,1,2,0,unacc,2,0,unacc,True,1
343,3,0,0,2,0,1,unacc,63,20,unacc,True,1
344,3,0,0,2,0,2,unacc,99,49,acc,False,1
346,3,0,0,2,1,1,unacc,63,20,unacc,True,1
352,3,0,1,0,0,1,unacc,129,69,acc,False,1
355,3,0,1,0,1,1,unacc,129,69,acc,False,1
357,3,0,1,0,2,0,unacc,2,0,unacc,True,1
358,3,0,1,0,2,1,unacc,129,69,acc,False,1
361,3,0,1,1,0,1,unacc,115,59,good,False,1
363,3,0,1,1,1,0,unacc,2,0,unacc,True,1
372,3,0,1,2,1,0,unacc,2,0,unacc,True,1
382,3,0,2,0,1,1,unacc,129,69,acc,False,1
384,3,0,2,0,2,0,unacc,2,0,unacc,True,1
388,3,0,2,1,0,1,unacc,115,59,good,False,1
390,3,0,2,1,1,0,unacc,2,0,unacc,True,1
397,3,0,2,2,0,1,unacc,63,20,unacc,True,1
402,3,0,2,2,2,0,unacc,2,0,unacc,True,1
407,3,0,3,0,0,2,unacc,104,55,vgood,False,1
411,3,0,3,0,2,0,unacc,2,0,unacc,True,1
413,3,0,3,0,2,2,unacc,104,55,vgood,False,1
423,3,0,3,2,0,0,unacc,2,0,unacc,True,1
426,3,0,3,2,1,0,unacc,2,0,unacc,True,1
429,3,0,3,2,2,0,unacc,2,0,unacc,True,1
436,2,3,0,0,1,1,unacc,128,66,acc,False,1
438,2,3,0,0,2,0,unacc,2,0,unacc,True,1
439,2,3,0,0,2,1,unacc,128,66,acc,False,1
443,2,3,0,1,0,2,unacc,46,15,acc,False,1
444,2,3,0,1,1,0,unacc,2,0,unacc,True,1
448,2,3,0,1,2,1,unacc,112,57,acc,False,1
450,2,3,0,2,0,0,unacc,2,0,unacc,True,1
452,2,3,0,2,0,2,unacc,51,16,acc,False,1
453,2,3,0,2,1,0,unacc,2,0,unacc,True,1
457,2,3,0,2,2,1,unacc,65,20,acc,False,1
460,2,3,1,0,0,1,unacc,128,66,acc,False,1
461,2,3,1,0,0,2,unacc,53,17,acc,False,1
465,2,3,1,0,2,0,unacc,2,0,unacc,True,1
467,2,3,1,0,2,2,unacc,53,17,acc,False,1
468,2,3,1,1,0,0,unacc,2,0,unacc,True,1
470,2,3,1,1,0,2,unacc,46,15,acc,False,1
473,2,3,1,1,1,2,unacc,46,15,acc,False,1
474,2,3,1,1,2,0,unacc,2,0,unacc,True,1
475,2,3,1,1,2,1,unacc,112,57,acc,False,1
476,2,3,1,1,2,2,unacc,46,15,acc,False,1
477,2,3,1,2,0,0,unacc,2,0,unacc,True,1
480,2,3,1,2,1,0,unacc,2,0,unacc,True,1
482,2,3,1,2,1,2,unacc,51,16,acc,False,1
488,2,3,2,0,0,2,unacc,53,17,acc,False,1
489,2,3,2,0,1,0,unacc,2,0,unacc,True,1
492,2,3,2,0,2,0,unacc,2,0,unacc,True,1
494,2,3,2,0,2,2,unacc,53,17,acc,False,1
497,2,3,2,1,0,2,unacc,46,15,acc,False,1
498,2,3,2,1,1,0,unacc,2,0,unacc,True,1
501,2,3,2,1,2,0,unacc,2,0,unacc,True,1
508,2,3,2,2,1,1,unacc,65,20,acc,False,1
509,2,3,2,2,1,2,unacc,51,16,acc,False,1
510,2,3,2,2,2,0,unacc,2,0,unacc,True,1
512,2,3,2,2,2,2,unacc,51,16,acc,False,1
513,2,3,3,0,0,0,unacc,2,0,unacc,True,1
514,2,3,3,0,0,1,unacc,128,66,acc,False,1
515,2,3,3,0,0,2,unacc,53,17,acc,False,1
521,2,3,3,0,2,2,unacc,53,17,acc,False,1
522,2,3,3,1,0,0,unacc,2,0,unacc,True,1
524,2,3,3,1,0,2,unacc,46,15,acc,False,1
525,2,3,3,1,1,0,unacc,2,0,unacc,True,1
527,2,3,3,1,1,2,unacc,46,15,acc,False,1
530,2,3,3,1,2,2,unacc,46,15,acc,False,1
531,2,3,3,2,0,0,unacc,2,0,unacc,True,1
532,2,3,3,2,0,1,unacc,65,20,acc,False,1
538,2,3,3,2,2,1,unacc,65,20,acc,False,1
539,2,3,3,2,2,2,unacc,51,16,acc,False,1
540,2,2,0,0,0,0,unacc,2,0,unacc,True,1
543,2,2,0,0,1,0,unacc,2,0,unacc,True,1
544,2,2,0,0,1,1,unacc,67,21,acc,False,1
546,2,2,0,0,2,0,unacc,2,0,unacc,True,1
547,2,2,0,0,2,1,unacc,67,21,acc,False,1
560,2,2,0,2,0,2,unacc,51,16,acc,False,1
564,2,2,0,2,2,0,unacc,2,0,unacc,True,1
569,2,2,1,0,0,2,unacc,52,17,acc,False,1
570,2,2,1,0,1,0,unacc,2,0,unacc,True,1
571,2,2,1,0,1,1,unacc,67,21,acc,False,1
573,2,2,1,0,2,0,unacc,2,0,unacc,True,1
575,2,2,1,0,2,2,unacc,52,17,acc,False,1
585,2,2,1,2,0,0,unacc,2,0,unacc,True,1
588,2,2,1,2,1,0,unacc,2,0,unacc,True,1
602,2,2,2,0,2,2,unacc,52,17,acc,False,1
603,2,2,2,1,0,0,unacc,2,0,unacc,True,1
604,2,2,2,1,0,1,unacc,109,56,acc,False,1
615,2,2,2,2,1,0,unacc,2,0,unacc,True,1
621,2,2,3,0,0,0,unacc,2,0,unacc,True,1
622,2,2,3,0,0,1,unacc,67,21,acc,False,1
624,2,2,3,0,1,0,unacc,2,0,unacc,True,1
627,2,2,3,0,2,0,unacc,2,0,unacc,True,1
629,2,2,3,0,2,2,unacc,52,17,acc,False,1
636,2,2,3,1,2,0,unacc,2,0,unacc,True,1
640,2,2,3,2,0,1,unacc,65,20,acc,False,1
645,2,2,3,2,2,0,unacc,2,0,unacc,True,1
650,2,1,0,0,0,2,unacc,102,54,vgood,False,1
651,2,1,0,0,1,0,unacc,2,0,unacc,True,1
653,2,1,0,0,1,2,unacc,102,54,vgood,False,1
655,2,1,0,0,2,1,unacc,68,21,acc,False,1
660,2,1,0,1,1,0,unacc,2,0,unacc,True,1
661,2,1,0,1,1,1,unacc,58,18,acc,False,1
666,2,1,0,2,0,0,unacc,2,0,unacc,True,1
669,2,1,0,2,1,0,unacc,2,0,unacc,True,1
672,2,1,0,2,2,0,unacc,2,0,unacc,True,1
676,2,1,1,0,0,1,unacc,68,21,acc,False,1
678,2,1,1,0,1,0,unacc,2,0,unacc,True,1
679,2,1,1,0,1,1,unacc,68,21,acc,False,1
683,2,1,1,0,2,2,unacc,102,54,vgood,False,1
685,2,1,1,1,0,1,unacc,58,18,acc,False,1
690,2,1,1,1,2,0,unacc,2,0,unacc,True,1
696,2,1,1,2,1,0,unacc,2,0,unacc,True,1
699,2,1,1,2,2,0,unacc,2,0,unacc,True,1
704,2,1,2,0,0,2,unacc,102,54,vgood,False,1
705,2,1,2,0,1,0,unacc,2,0,unacc,True,1
723,2,1,2,2,1,0,unacc,2,0,unacc,True,1
729,2,1,3,0,0,0,unacc,2,0,unacc,True,1
730,2,1,3,0,0,1,unacc,68,21,acc,False,1
732,2,1,3,0,1,0,unacc,2,0,unacc,True,1
734,2,1,3,0,1,2,unacc,102,54,vgood,False,1
739,2,1,3,1,0,1,unacc,58,18,acc,False,1
741,2,1,3,1,1,0,unacc,2,0,unacc,True,1
744,2,1,3,1,2,0,unacc,2,0,unacc,True,1
750,2,1,3,2,1,0,unacc,2,0,unacc,True,1
759,2,0,0,0,1,0,unacc,2,0,unacc,True,1
760,2,0,0,0,1,1,unacc,131,69,good,False,1
763,2,0,0,0,2,1,unacc,131,69,good,False,1
766,2,0,0,1,0,1,unacc,115,59,good,False,1
768,2,0,0,1,1,0,unacc,2,0,unacc,True,1
777,2,0,0,2,1,0,unacc,2,0,unacc,True,1
780,2,0,0,2,2,0,unacc,2,0,unacc,True,1
787,2,0,1,0,1,1,unacc,131,69,good,False,1
790,2,0,1,0,2,1,unacc,131,69,good,False,1
793,2,0,1,1,0,1,unacc,115,59,good,False,1
795,2,0,1,1,1,0,unacc,2,0,unacc,True,1
796,2,0,1,1,1,1,unacc,115,59,good,False,1
798,2,0,1,1,2,0,unacc,2,0,unacc,True,1
801,2,0,1,2,0,0,unacc,2,0,unacc,True,1
802,2,0,1,2,0,1,unacc,63,20,unacc,True,1
812,2,0,2,0,0,2,unacc,104,55,vgood,False,1
813,2,0,2,0,1,0,unacc,2,0,unacc,True,1
816,2,0,2,0,2,0,unacc,2,0,unacc,True,1
817,2,0,2,0,2,1,unacc,131,69,good,False,1
818,2,0,2,0,2,2,unacc,104,55,vgood,False,1
828,2,0,2,2,0,0,unacc,2,0,unacc,True,1
829,2,0,2,2,0,1,unacc,63,20,unacc,True,1
840,2,0,3,0,1,0,unacc,2,0,unacc,True,1
858,2,0,3,2,1,0,unacc,2,0,unacc,True,1
865,1,3,0,0,0,1,unacc,128,66,acc,False,1
868,1,3,0,0,1,1,unacc,128,66,acc,False,1
876,1,3,0,1,1,0,unacc,2,0,unacc,True,1
879,1,3,0,1,2,0,unacc,2,0,unacc,True,1
884,1,3,0,2,0,2,unacc,51,16,acc,False,1
885,1,3,0,2,1,0,unacc,2,0,unacc,True,1
896,1,3,1,0,1,2,unacc,53,17,acc,False,1
897,1,3,1,0,2,0,unacc,2,0,unacc,True,1
898,1,3,1,0,2,1,unacc,128,66,acc,False,1
901,1,3,1,1,0,1,unacc,111,57,unacc,True,1
904,1,3,1,1,1,1,unacc,111,57,unacc,True,1
910,1,3,1,2,0,1,unacc,65,20,acc,False,1
919,1,3,2,0,0,1,unacc,128,66,acc,False,1
923,1,3,2,0,1,2,unacc,53,17,acc,False,1
924,1,3,2,0,2,0,unacc,2,0,unacc,True,1
926,1,3,2,0,2,2,unacc,53,17,acc,False,1
928,1,3,2,1,0,1,unacc,111,57,unacc,True,1
930,1,3,2,1,1,0,unacc,2,0,unacc,True,1
942,1,3,2,2,2,0,unacc,2,0,unacc,True,1
948,1,3,3,0,1,0,unacc,2,0,unacc,True,1
949,1,3,3,0,1,1,unacc,128,66,acc,False,1
950,1,3,3,0,1,2,unacc,53,17,acc,False,1
951,1,3,3,0,2,0,unacc,2,0,unacc,True,1
952,1,3,3,0,2,1,unacc,128,66,acc,False,1
953,1,3,3,0,2,2,unacc,53,17,acc,False,1
955,1,3,3,1,0,1,unacc,111,57,unacc,True,1
957,1,3,3,1,1,0,unacc,2,0,unacc,True,1
960,1,3,3,1,2,0,unacc,2,0,unacc,True,1
964,1,3,3,2,0,1,unacc,65,20,acc,False,1
975,1,2,0,0,1,0,unacc,2,0,unacc,True,1
976,1,2,0,0,1,1,unacc,67,21,acc,False,1
977,1,2,0,0,1,2,unacc,52,17,acc,False,1
980,1,2,0,0,2,2,unacc,52,17,acc,False,1
987,1,2,0,1,2,0,unacc,2,0,unacc,True,1
991,1,2,0,2,0,1,unacc,65,20,acc,False,1
994,1,2,0,2,1,1,unacc,65,20,acc,False,1
1000,1,2,1,0,0,1,unacc,67,21,acc,False,1
1002,1,2,1,0,1,0,unacc,2,0,unacc,True,1
1003,1,2,1,0,1,1,unacc,67,21,acc,False,1
1005,1,2,1,0,2,0,unacc,2,0,unacc,True,1
1007,1,2,1,0,2,2,unacc,52,17,acc,False,1
1014,1,2,1,1,2,0,unacc,2,0,unacc,True,1
1017,1,2,1,2,0,0,unacc,2,0,unacc,True,1
1018,1,2,1,2,0,1,unacc,65,20,acc,False,1
1023,1,2,1,2,2,0,unacc,2,0,unacc,True,1
1029,1,2,2,0,1,0,unacc,2,0,unacc,True,1
1030,1,2,2,0,1,1,unacc,67,21,acc,False,1
1032,1,2,2,0,2,0,unacc,2,0,unacc,True,1
1033,1,2,2,0,2,1,unacc,67,21,acc,False,1
1035,1,2,2,1,0,0,unacc,2,0,unacc,True,1
1036,1,2,2,1,0,1,unacc,108,56,unacc,True,1
1044,1,2,2,2,0,0,unacc,2,0,unacc,True,1
1045,1,2,2,2,0,1,unacc,65,20,acc,False,1
1047,1,2,2,2,1,0,unacc,2,0,unacc,True,1
1054,1,2,3,0,0,1,unacc,67,21,acc,False,1
1056,1,2,3,0,1,0,unacc,2,0,unacc,True,1
1058,1,2,3,0,1,2,unacc,52,17,acc,False,1
1060,1,2,3,0,2,1,unacc,67,21,acc,False,1
1063,1,2,3,1,0,1,unacc,108,56,unacc,True,1
1065,1,2,3,1,1,0,unacc,2,0,unacc,True,1
1074,1,2,3,2,1,0,unacc,2,0,unacc,True,1
1077,1,2,3,2,2,0,unacc,2,0,unacc,True,1
1082,1,1,0,0,0,2,unacc,101,54,vgood,False,1
1087,1,1,0,0,2,1,unacc,68,21,acc,False,1
1088,1,1,0,0,2,2,unacc,101,54,vgood,False,1
1089,1,1,0,1,0,0,unacc,2,0,unacc,True,1
1098,1,1,0,2,0,0,unacc,2,0,unacc,True,1
1101,1,1,0,2,1,0,unacc,2,0,unacc,True,1
1109,1,1,1,0,0,2,unacc,101,54,vgood,False,1
1111,1,1,1,0,1,1,unacc,68,21,acc,False,1
1114,1,1,1,0,2,1,unacc,68,21,acc,False,1
1116,1,1,1,1,0,0,unacc,2,0,unacc,True,1
1119,1,1,1,1,1,0,unacc,2,0,unacc,True,1
1135,1,1,2,0,0,1,unacc,68,21,acc,False,1
1138,1,1,2,0,1,1,unacc,68,21,acc,False,1
1140,1,1,2,0,2,0,unacc,2,0,unacc,True,1
1141,1,1,2,0,2,1,unacc,68,21,acc,False,1
1146,1,1,2,1,1,0,unacc,2,0,unacc,True,1
1158,1,1,2,2,2,0,unacc,2,0,unacc,True,1
1161,1,1,3,0,0,0,unacc,2,0,unacc,True,1
1162,1,1,3,0,0,1,unacc,68,21,acc,False,1
1163,1,1,3,0,0,2,unacc,101,54,vgood,False,1
1164,1,1,3,0,1,0,unacc,2,0,unacc,True,1
1165,1,1,3,0,1,1,unacc,68,21,acc,False,1
1166,1,1,3,0,1,2,unacc,101,54,vgood,False,1
1173,1,1,3,1,1,0,unacc,2,0,unacc,True,1
1179,1,1,3,2,0,0,unacc,2,0,unacc,True,1
1185,1,1,3,2,2,0,unacc,2,0,unacc,True,1
1191,1,0,0,0,1,0,unacc,2,0,unacc,True,1
1194,1,0,0,0,2,0,unacc,2,0,unacc,True,1
1197,1,0,0,1,0,0,unacc,2,0,unacc,True,1
1200,1,0,0,1,1,0,unacc,2,0,unacc,True,1
1208,1,0,0,2,0,2,unacc,100,49,vgood,False,1
1212,1,0,0,2,2,0,unacc,2,0,unacc,True,1
1216,1,0,1,0,0,1,unacc,130,69,good,False,1
1220,1,0,1,0,1,2,unacc,105,55,vgood,False,1
1222,1,0,1,0,2,1,unacc,130,69,good,False,1
1223,1,0,1,0,2,2,unacc,105,55,vgood,False,1
1227,1,0,1,1,1,0,unacc,2,0,unacc,True,1
1230,1,0,1,1,2,0,unacc,2,0,unacc,True,1
1239,1,0,1,2,2,0,unacc,2,0,unacc,True,1
1242,1,0,2,0,0,0,unacc,2,0,unacc,True,1
1245,1,0,2,0,1,0,unacc,2,0,unacc,True,1
1250,1,0,2,0,2,2,unacc,105,55,vgood,False,1
1251,1,0,2,1,0,0,unacc,2,0,unacc,True,1
1257,1,0,2,1,2,0,unacc,2,0,unacc,True,1
1260,1,0,2,2,0,0,unacc,2,0,unacc,True,1
1266,1,0,2,2,2,0,unacc,2,0,unacc,True,1
1269,1,0,3,0,0,0,unacc,2,0,unacc,True,1
1270,1,0,3,0,0,1,unacc,130,69,good,False,1
1273,1,0,3,0,1,1,unacc,130,69,good,False,1
1274,1,0,3,0,1,2,unacc,105,55,vgood,False,1
1275,1,0,3,0,2,0,unacc,2,0,unacc,True,1
1276,1,0,3,0,2,1,unacc,130,69,good,False,1
1281,1,0,3,1,1,0,unacc,2,0,unacc,True,1
1299,0,3,0,0,1,0,unacc,2,0,unacc,True,1
1300,0,3,0,0,1,1,unacc,127,66,unacc,True,1
1301,0,3,0,0,1,2,unacc,53,17,acc,False,1
1302,0,3,0,0,2,0,unacc,2,0,unacc,True,1
1303,0,3,0,0,2,1,unacc,127,66,unacc,True,1
1304,0,3,0,0,2,2,unacc,53,17,acc,False,1
1308,0,3,0,1,1,0,unacc,2,0,unacc,True,1
1309,0,3,0,1,1,1,unacc,110,57,unacc,True,1
1311,0,3,0,1,2,0,unacc,2,0,unacc,True,1
1314,0,3,0,2,0,0,unacc,2,0,unacc,True,1
1317,0,3,0,2,1,0,unacc,2,0,unacc,True,1
1324,0,3,1,0,0,1,unacc,127,66,unacc,True,1
1327,0,3,1,0,1,1,unacc,127,66,unacc,True,1
1328,0,3,1,0,1,2,unacc,53,17,acc,False,1
1330,0,3,1,0,2,1,unacc,127,66,unacc,True,1
1332,0,3,1,1,0,0,unacc,2,0,unacc,True,1
1350,0,3,2,0,0,0,unacc,2,0,unacc,True,1
1351,0,3,2,0,0,1,unacc,127,66,unacc,True,1
1356,0,3,2,0,2,0,unacc,2,0,unacc,True,1
1358,0,3,2,0,2,2,unacc,53,17,acc,False,1
1374,0,3,2,2,2,0,unacc,2,0,unacc,True,1
1377,0,3,3,0,0,0,unacc,2,0,unacc,True,1
1379,0,3,3,0,0,2,unacc,53,17,acc,False,1
1381,0,3,3,0,1,1,unacc,127,66,unacc,True,1
1382,0,3,3,0,1,2,unacc,53,17,acc,False,1
1383,0,3,3,0,2,0,unacc,2,0,unacc,True,1
1389,0,3,3,1,1,0,unacc,2,0,unacc,True,1
1392,0,3,3,1,2,0,unacc,2,0,unacc,True,1
1395,0,3,3,2,0,0,unacc,2,0,unacc,True,1
1396,0,3,3,2,0,1,unacc,65,20,acc,False,1
1398,0,3,3,2,1,0,unacc,2,0,unacc,True,1
1401,0,3,3,2,2,0,unacc,2,0,unacc,True,1
1404,0,2,0,0,0,0,unacc,2,0,unacc,True,1
1423,0,2,0,2,0,1,unacc,65,20,acc,False,1
1425,0,2,0,2,1,0,unacc,2,0,unacc,True,1
1428,0,2,0,2,2,0,unacc,2,0,unacc,True,1
1434,0,2,1,0,1,0,unacc,2,0,unacc,True,1
1435,0,2,1,0,1,1,unacc,67,21,acc,False,1
1446,0,2,1,1,2,0,unacc,2,0,unacc,True,1
1449,0,2,1,2,0,0,unacc,2,0,unacc,True,1
1455,0,2,1,2,2,0,unacc,2,0,unacc,True,1
1458,0,2,2,0,0,0,unacc,2,0,unacc,True,1
1463,0,2,2,0,1,2,unacc,52,17,acc,False,1
1465,0,2,2,0,2,1,unacc,67,21,acc,False,1
1479,0,2,2,2,1,0,unacc,2,0,unacc,True,1
1482,0,2,2,2,2,0,unacc,2,0,unacc,True,1
1486,0,2,3,0,0,1,unacc,67,21,acc,False,1
1487,0,2,3,0,0,2,unacc,52,17,acc,False,1
1490,0,2,3,0,1,2,unacc,52,17,acc,False,1
1491,0,2,3,0,2,0,unacc,2,0,unacc,True,1
1493,0,2,3,0,2,2,unacc,52,17,acc,False,1
1494,0,2,3,1,0,0,unacc,2,0,unacc,True,1
1506,0,2,3,2,1,0,unacc,2,0,unacc,True,1
1509,0,2,3,2,2,0,unacc,2,0,unacc,True,1
1515,0,1,0,0,1,0,unacc,2,0,unacc,True,1
1517,0,1,0,0,1,2,unacc,103,54,good,False,1
1520,0,1,0,0,2,2,unacc,103,54,good,False,1
1530,0,1,0,2,0,0,unacc,2,0,unacc,True,1
1533,0,1,0,2,1,0,unacc,2,0,unacc,True,1
1542,0,1,1,0,1,0,unacc,2,0,unacc,True,1
1546,0,1,1,0,2,1,unacc,68,21,acc,False,1
1547,0,1,1,0,2,2,unacc,103,54,good,False,1
1551,0,1,1,1,1,0,unacc,2,0,unacc,True,1
1567,0,1,2,0,0,1,unacc,68,21,acc,False,1
1574,0,1,2,0,2,2,unacc,103,54,good,False,1
1584,0,1,2,2,0,0,unacc,2,0,unacc,True,1
1587,0,1,2,2,1,0,unacc,2,0,unacc,True,1
1593,0,1,3,0,0,0,unacc,2,0,unacc,True,1
1594,0,1,3,0,0,1,unacc,68,21,acc,False,1
1595,0,1,3,0,0,2,unacc,103,54,good,False,1
1596,0,1,3,0,1,0,unacc,2,0,unacc,True,1
1598,0,1,3,0,1,2,unacc,103,54,good,False,1
1611,0,1,3,2,0,0,unacc,2,0,unacc,True,1
1617,0,1,3,2,2,0,unacc,2,0,unacc,True,1
1620,0,0,0,0,0,0,unacc,2,0,unacc,True,1
1621,0,0,0,0,0,1,unacc,130,69,good,False,1
1627,0,0,0,0,2,1,unacc,130,69,good,False,1
1628,0,0,0,0,2,2,unacc,106,55,good,False,1
1629,0,0,0,1,0,0,unacc,2,0,unacc,True,1
1632,0,0,0,1,1,0,unacc,2,0,unacc,True,1
